period,shareName,shareCode,marketName,marketCode,assets,currentAssets,inventory,shortTermFinancialAssets,accountsReceivables,contractAssets,otherCurrentAssets,cashAndEquivalents,nonCurrentAssetsHeldForSaleOrDisposedAssets,nonCurrentAssets,tangibleAssets,intangibleAssets,InvestmentProperty,investments,longTermAccountsReceivables,deferredIncomeTaxAssets,otherNonCurrentAssets,liabilities,currentLiabilities,shorTermBonds,shorTermBorrowings,longTernCurrentLiabilities,currentFinancialLiabilities,accountsPayable,currentPortionOfProvision,currentDeferredIncomeTaxLiabilities,contractLiabilities,returnLiabilities,otherCurrentLiabilities,nonCurrentLiabilities,bonds,longTermBorrowings,nonCurrentFinancialLiabilities,longTermAccountsPayable,nonCurrentPortionOfProvision,deferredIncomeTaxLiabilities,otherNonCurrentLiabilities,interestBearingLiabilities,netDebt,capex,equity,controllingInterest,commonStock,hybridSecurities,capitalSurplus,capitalAdjustments,retainedEarnings
2019/12,LX세미콘,108320,디스플레이장비및부품,199,6297.3,5192.3,1188.4,1022.2,1616.3,,265.8,1096.9,,1105.0,218.5,526.8,,99.0,11.0,79.6,170.2,1575.3,1448.5,,,,28.0,1128.4,,20.0,,,272.1,126.7,,,70.8,,,,16.2,98.8,-2000.8,104.0,4722.1,4722.1,81.3,,763.4,,3881.6
2020/12,LX세미콘,108320,디스플레이장비및부품,199,7506.0,6293.3,1352.6,1535.5,2221.6,,176.3,1005.7,,1212.7,331.6,521.4,,116.4,20.5,89.6,133.1,2183.2,2090.9,,,,28.6,1822.4,35.8,161.8,,,42.3,92.3,,,53.8,0.2,9.3,,30.9,82.4,-2433.4,172.7,5322.8,5322.8,81.3,,763.4,,4482.6
2021/12,LX세미콘,108320,디스플레이장비및부품,199,11725.3,10310.6,2011.2,4730.1,1927.1,,286.1,1356.1,,1414.7,502.6,502.2,,193.2,24.9,84.0,107.8,3722.0,3635.8,,,,35.8,2758.7,21.4,743.2,,,76.7,86.1,,,39.3,0.2,10.3,,,75.0,-5981.1,310.3,8003.3,8003.3,81.3,,763.4,,7158.4
2022/12(E),LX세미콘,108320,디스플레이장비및부품,199,15438.2,14017.4,,,,,,,,,,,,,,,,4560.4,4465.4,,,,,,,,,,,97.2,,,,,,,,,-8335.3,206.3,10877.8,10877.8,80.6,,,,
2016/12,엘엠에스,073110,디스플레이장비및부품,199,2050.7,1131.9,345.6,103.4,419.8,,16.7,246.4,,918.8,855.8,24.0,,2.2,,30.9,5.8,943.4,677.0,,509.6,37.8,,111.3,2.6,8.7,,,0.3,266.5,,264.4,,2.1,,,,811.7,462.1,45.1,1107.3,1107.3,45.2,,291.3,-84.5,858.9
2017/12,엘엠에스,073110,디스플레이장비및부품,199,2002.0,1128.0,172.2,353.0,298.1,,61.2,243.6,,874.0,736.2,23.9,32.6,3.9,,72.9,4.5,866.0,781.1,,432.2,220.1,,103.3,2.9,13.8,,,1.5,84.9,,81.6,,3.3,,,,734.0,137.4,25.5,1136.1,1136.1,45.2,,291.3,-133.2,941.8
2018/12,엘엠에스,073110,디스플레이장비및부품,199,1964.8,1133.5,111.8,152.1,343.1,,57.3,458.1,,831.3,657.3,50.0,32.3,0.5,,88.8,2.5,784.7,639.7,,449.0,31.0,,111.1,38.7,2.0,,,,145.0,,140.6,,4.3,,,,620.6,10.4,69.3,1180.2,1180.2,45.2,,291.3,-144.4,998.1
2019/12,엘엠에스,073110,디스플레이장비및부품,199,2464.3,1511.1,301.1,21.0,843.1,,8.6,324.7,,953.2,623.7,43.0,70.6,43.9,,171.3,0.7,1220.1,1020.5,,288.6,37.1,,213.4,391.0,80.8,,,0.6,199.6,,195.5,,4.1,,,,521.3,175.6,93.4,1244.1,1244.1,45.2,,291.3,-183.1,1096.7
2020/12,엘엠에스,073110,디스플레이장비및부품,199,2137.7,1231.9,255.6,76.9,321.3,,9.5,475.2,,905.8,644.5,30.2,84.9,41.2,,95.6,9.4,1136.1,940.3,,541.0,103.7,0.7,230.6,53.9,0.5,,,,195.8,,183.6,0.5,9.5,,,,829.4,277.3,113.6,1001.7,1001.7,45.2,,291.3,-224.4,895.0
2021/12,엘엠에스,073110,디스플레이장비및부품,199,2270.2,1181.3,284.8,138.1,307.6,,8.4,425.8,,1089.0,798.4,38.9,84.1,48.5,,109.7,9.4,1234.2,986.6,,598.0,150.5,0.5,167.5,52.4,11.7,,,,247.5,,234.0,,11.8,,,,983.0,419.1,225.8,1036.1,1036.1,45.2,,291.3,-224.4,902.6
2022/12(E),엘엠에스,073110,디스플레이장비및부품,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/12,엘오티베큠,083310,반도체와반도체장비,202,1164.6,548.6,286.1,6.7,170.3,,5.6,79.9,,615.9,428.7,135.7,,15.4,7.1,27.0,1.9,341.0,275.6,,78.5,,,182.8,,10.2,,,4.0,65.4,,,,,47.2,,3.8,78.5,-5.6,82.0,823.6,808.6,60.1,,123.9,-10.0,632.1
2017/12,엘오티베큠,083310,반도체와반도체장비,202,1530.9,888.8,189.9,162.3,158.2,,5.9,372.5,,642.2,446.9,130.5,,19.1,14.9,29.0,1.7,454.2,292.6,,95.2,,,150.7,,42.2,,,4.5,161.6,76.2,,0.5,,70.9,,2.1,171.4,-261.2,49.2,1076.7,1062.3,63.0,,131.7,-10.2,876.0
