period,shareName,shareCode,marketName,marketCode,operatingCashFlow,depreciation,amortization,investingCashFlow,investingCashFlowIn,investingCashFlowOut,financingCashFlow,financingCashFlowIn,financingCashFlowOut,decreaseInTangibleAssets,decreaseInOtherTangibleAssets,decreaseInIntangibleAssets,increaseInInvestmentRealEstate,increaseInTangibleAssets,increaseInRealEstate,increaseInOtherTangibleAssets,increaseInIntangibleAssets,increaseInShortTermBorrowings,increaseInDebt,increaseInLongTermBorrowings,decreaseInShortTermBorrowings,decreaseInDebt,decreaseInLongTermBorrowings,acquisitionOfTreasuryStock,beginningOfTermCashAndCashEquivalents,endOfTermCashAndCashEquivalents
2017/12,CJ,001040,복합기업,191,22404.0,9221.6,5867.4,-28638.0,7691.7,36857.4,7182.2,28783.1,17511.1,896.0,896.0,141.8,563.8,22729.5,,22729.5,5659.3,1230.5,17728.1,5329.7,,603.0,1025.8,,11692.8,12195.5
2018/12,CJ,001040,복합기업,191,15410.9,9979.6,6938.5,-21260.1,16626.4,38888.4,8273.5,33761.5,20830.3,425.9,425.9,58.5,58.9,24583.0,,24583.0,6453.5,8468.1,8772.0,10075.1,,200.0,1248.1,405.6,12195.5,14735.7
2019/12,CJ,001040,복합기업,191,38645.8,19040.2,7349.5,-48957.2,17784.5,67349.5,11671.4,53014.3,33431.5,1207.6,1207.6,180.3,11.7,22047.9,,22047.9,7974.4,,12027.5,20596.9,7575.5,500.0,705.8,7.2,14735.7,16026.4
2020/12,CJ,001040,복합기업,191,30328.1,18428.2,6311.9,-14437.8,21185.8,36059.9,-5372.3,35476.7,33961.8,2680.4,2680.4,217.6,34.5,12341.7,,12341.7,6674.2,7228.6,10466.1,12735.2,,821.4,933.7,,16026.4,26031.0
2021/12,CJ,001040,복합기업,191,33531.9,18009.4,6466.1,-16234.9,26637.9,43171.9,-12302.0,36823.6,41900.8,1445.8,1445.8,139.6,30.4,14581.1,,14581.1,8549.8,678.1,15457.1,12077.8,,,2238.8,,26031.0,31938.6
2022/12(E),CJ,001040,복합기업,191,44481.3,,,-26555.0,,,1864.8,,,,,,,,,,,,,,,,,,,
2016/12,CJ씨푸드,011150,식품,38,-54.7,47.2,0.7,-84.2,5.5,97.3,130.9,134.3,,,,,,,,,,,,,,,,,,
2017/12,CJ씨푸드,011150,식품,38,156.1,53.3,1.0,-111.0,0.6,120.4,-46.1,,37.8,0.5,0.5,,,110.2,,110.2,,,,,,,37.8,,4.9,4.0
2018/12,CJ씨푸드,011150,식품,38,-10.4,58.3,1.0,-69.0,7.9,86.0,86.3,94.9,,3.0,3.0,,,86.0,,86.0,0.1,,,94.9,,,,,4.0,10.8
2019/12,CJ씨푸드,011150,식품,38,72.8,62.2,1.0,-46.6,10.7,86.9,-35.3,205.2,231.7,0.8,0.8,,,86.5,,86.5,0.2,,,205.2,,,231.7,,10.8,1.7
2020/12,CJ씨푸드,011150,식품,38,34.5,63.7,1.0,-50.1,0.5,50.5,18.1,407.4,383.5,0.5,0.5,,,44.6,,44.6,,,197.0,210.4,,0.5,383.0,,1.7,4.3
2021/12,CJ씨푸드,011150,식품,38,109.1,62.2,0.4,-24.4,3.0,41.9,-87.9,114.9,196.4,2.4,2.4,,,38.2,,38.2,,,,114.9,,,196.4,,4.3,1.1
2022/12(E),CJ씨푸드,011150,식품,38,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/12,DB,012030,IT서비스,154,143.5,15.1,6.0,68.9,549.8,480.9,-186.0,27.1,213.2,,,,,,,,,,,,,,,,,
2017/12,DB,012030,IT서비스,154,79.6,14.9,4.5,17.6,92.0,74.4,-83.5,54.6,138.0,0.6,0.6,0.6,,8.1,,8.1,3.2,54.6,,,27.1,100.0,,,117.3,130.5
2018/12,DB,012030,IT서비스,154,67.6,13.4,80.3,-848.1,249.6,1097.7,927.9,990.6,62.7,,,1.1,,3.7,,3.7,5.5,0.6,990.0,,54.6,,,,130.5,279.4
2019/12,DB,012030,IT서비스,154,310.1,39.7,116.1,-87.5,75.8,163.3,-258.4,37.7,296.1,1.1,1.1,,,6.9,,6.9,5.7,37.7,,,0.6,250.0,,,279.4,243.7
2020/12,DB,012030,IT서비스,154,181.9,44.9,35.2,-89.8,210.5,300.3,-150.6,38.9,189.5,1.0,1.0,,,4.7,,4.7,6.1,38.9,,,37.2,100.0,,,243.7,185.2
2021/12,DB,012030,IT서비스,154,185.9,36.9,35.9,-10.5,313.6,324.2,-194.0,541.7,735.7,0.6,0.6,1.0,,3.0,,3.0,7.9,35.6,494.5,11.6,38.9,650.0,,,185.2,167.1
