period,shareName,shareCode,marketName,marketCode,totalRevenue,costOfRevenue,grossProfit,operationExpense,operationIncome,interestIncome,interestExpense,otherNonOperationIncExp,earningBfTax,incomeTaxExpense,netIncome
2021/03,삼강엠앤티,100090,조선,215,1073.1,915.4,157.6,42.3,115.3,3.3,48.4,41.2,111.3,7.4,103.9
2021/06,삼강엠앤티,100090,조선,215,1094.2,1022.7,71.5,42.5,29.0,5.5,58.9,-8.4,-32.8,-1.8,-31.0
2021/09,삼강엠앤티,100090,조선,215,1344.1,1242.2,102.0,38.7,63.2,8.9,77.5,60.4,55.1,2.5,52.6
2021/12(E),삼강엠앤티,100090,조선,215,,,,,,,,,,,
2020/06,삼기,122350,자동차부품,36,723.2,664.6,58.7,70.4,-11.8,0.4,15.9,-10.5,-37.7,-5.6,-32.2
2020/09,삼기,122350,자동차부품,36,919.2,822.2,97.0,75.6,21.4,0.4,15.8,9.3,15.4,-1.9,17.3
2020/12,삼기,122350,자동차부품,36,1232.6,1134.2,98.4,143.1,-44.7,0.4,17.3,-39.6,-101.2,-13.3,-87.9
2021/03,삼기,122350,자동차부품,36,1381.1,1275.4,105.7,167.4,-61.7,0.4,16.5,41.2,-36.7,1.0,-37.7
2021/06,삼기,122350,자동차부품,36,1573.8,1339.6,234.2,118.5,115.7,2.9,21.9,14.4,111.1,19.7,91.4
2021/09,삼기,122350,자동차부품,36,1413.7,1287.7,125.9,97.9,28.0,-2.0,16.0,55.6,65.6,-1.9,67.5
2021/12(E),삼기,122350,자동차부품,36,,,,,,,,,,,
2020/06,삼륭물산,014970,포장재,173,218.6,199.8,18.8,18.1,0.7,1.8,2.7,0.6,0.3,3.4,-3.1
2020/09,삼륭물산,014970,포장재,173,233.4,212.0,21.4,14.4,6.9,1.7,3.7,-0.5,4.4,2.7,1.7
2020/12,삼륭물산,014970,포장재,173,216.5,194.7,21.7,18.3,3.4,8.7,10.9,-80.7,-79.5,-15.3,-64.3
2021/03,삼륭물산,014970,포장재,173,216.1,203.6,12.5,15.6,-3.1,4.1,4.3,1.0,-2.3,-0.1,-2.1
2021/06,삼륭물산,014970,포장재,173,212.0,195.5,16.5,17.5,-0.9,-0.4,0.9,2.1,-0.2,1.2,-1.4
2021/09,삼륭물산,014970,포장재,173,223.7,207.5,16.2,15.5,0.7,3.2,4.4,2.2,1.7,-0.2,1.9
2021/12(E),삼륭물산,014970,포장재,173,,,,,,,,,,,
2020/06,삼목에스폼,018310,건축제품,171,356.5,298.5,58.0,55.6,2.4,4.0,0.1,8.5,14.7,12.9,1.9
2020/09,삼목에스폼,018310,건축제품,171,279.3,288.9,-9.6,61.9,-71.5,2.5,0.1,9.3,-59.8,-2.8,-57.1
2020/12,삼목에스폼,018310,건축제품,171,261.3,231.5,29.8,58.6,-28.8,2.3,0.1,102.8,76.1,-5.3,81.5
2021/03,삼목에스폼,018310,건축제품,171,292.4,246.9,45.5,50.6,-5.0,2.9,,12.8,10.7,2.1,8.5
2021/06,삼목에스폼,018310,건축제품,171,297.1,305.7,-8.6,49.7,-58.3,3.1,,55.7,0.5,-0.2,0.7
2021/09,삼목에스폼,018310,건축제품,171,,,,,,,,,,,
2021/12(E),삼목에스폼,018310,건축제품,171,,,,,,,,,,,
