period,shareName,shareCode,marketName,marketCode,mv,totalRevenue,operationIncome,operationIncomePublished,continuingIncomeAndLoseBeforeIncomeTaxes,netIncome,controllingNetIncome,nonControllingNetIncome,assets,liabilities,equity,controllingEquity,nonControllingEquity,commonStock,operatingCashFlow,investingCashFlow,financingCashFlow,capex,fcf,interestBearingLiabilities,operationIncomeMargin,netIncomeMargin,roe,roa,liabilitiesRatio,equityRatio,eps,per,bps,pbr,cashDps,dividendYield,dividendPayoutRatio,shareNum,ev,ebitda,ev/ebitda,ebitdaMargin,psr,sps,por,ops,depreciation,amortization,price
2021/06,리드코프,012700,기타금융,183,2544.08,1089.0,171.0,171.0,199.0,152.0,153.0,-1.0,12455.0,8099.0,4356.0,4312.0,43.0,138.0,-117.0,-338.0,496.0,2.0,-119.0,960.0,15.67,13.98,12.45,4.48,185.93,2912.58,1953.85,5.01,16584.62,0.59,300.0,,50.13,26446135.0,1913.58,216.1,2.65,19.84,0.62,15738.46,3.95,2476.92,8.6,1.6,9619.86
2021/09,리드코프,012700,기타금융,183,2277.0,1291.0,149.0,149.0,30.0,1.0,2.0,-1.0,12742.0,8549.0,4193.0,4151.0,42.0,138.0,-103.0,-438.0,381.0,1.0,-104.0,921.0,11.55,0.1,9.86,3.45,203.91,2858.41,1538.46,5.69,15965.38,0.55,,,,26446135.0,1569.2,49.3,2.55,3.82,0.51,17092.31,3.52,2488.46,8.7,1.6,8609.95
2021/12(E),리드코프,012700,기타금융,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26446135.0,,,,,,,,,,,
2022/03(E),리드코프,012700,기타금융,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26446135.0,,,,,,,,,,,
2022/06(E),리드코프,012700,기타금융,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26446135.0,,,,,,,,,,,
2020/09,리메드,302550,건강관리장비와용품,211,1805.76,40.0,1.0,1.0,,-1.0,1.0,-1.0,765.0,462.0,303.0,297.0,6.0,30.0,12.0,-427.0,350.0,96.0,-84.0,426.0,3.57,-1.3,,,152.41,854.27,,,4950.0,6.08,,,,6088916.0,1471.06,1.4,,3.5,,,,,1.2,0.1,29656.51
2020/12,리메드,302550,건강관리장비와용품,211,1991.44,33.0,-3.0,-3.0,-46.0,-46.0,-47.0,1.0,735.0,487.0,248.0,248.0,,30.0,,30.0,-15.0,-9.0,9.0,190.0,-7.75,-139.21,,,196.39,689.6,,,4133.33,8.03,,,,6088916.0,1906.24,-10.0,,-30.3,,,,,0.7,0.1,32705.99
2021/03,리메드,302550,건강관리장비와용품,211,1458.24,36.0,-2.0,-2.0,1.0,1.0,1.0,,740.0,492.0,248.0,248.0,,30.0,-9.0,-10.0,,11.0,-20.0,190.0,-4.81,3.05,-16.89,-7.97,197.92,693.17,,,4133.33,5.88,,,,6102266.0,1354.84,1.5,-136.85,4.17,,,,,1.3,0.1,23896.7
2021/06,리메드,302550,건강관리장비와용품,211,1648.3,53.0,2.0,2.0,21.0,16.0,16.0,,749.0,484.0,265.0,265.0,,31.0,,11.0,2.0,12.0,-12.0,193.0,4.59,29.16,-10.74,-5.19,182.71,751.89,-483.33,-56.84,4416.67,6.22,,,,6102266.0,1553.1,5.4,-913.59,10.19,10.17,2700.0,-824.15,-33.33,1.2,0.2,27011.28
2021/09,리메드,302550,건강관리장비와용품,211,1333.0,47.0,2.0,2.0,6.0,4.0,4.0,,759.0,487.0,272.0,272.0,,31.0,-3.0,-9.0,2.0,12.0,-15.0,195.0,4.0,9.48,-9.21,-3.3,178.74,776.3,-433.33,-51.27,4533.33,4.9,,,,6114616.0,1226.0,7.2,299.02,15.32,7.89,2816.67,-1333.0,-16.67,1.2,0.2,21800.22
2021/12(E),리메드,302550,건강관리장비와용품,211,1349.34,,,,,,,,1063.0,805.0,258.0,258.0,,31.0,,,,,,,,,,,312.02,,,,4300.0,5.23,,,,6127616.0,,26.0,,,,,,,,,22020.64
2022/03(E),리메드,302550,건강관리장비와용품,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6127616.0,,,,,,,,,,,
2022/06(E),리메드,302550,건강관리장비와용품,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6127616.0,,,,,,,,,,,
2020/06,리파인,377450,상업서비스와공급품,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,,,,,,,,,,,
2020/09,리파인,377450,상업서비스와공급품,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,,,,,,,,,,,
2020/12,리파인,377450,상업서비스와공급품,208,,,,,,,,,495.0,134.0,361.0,361.0,,13.0,,,,,,10.0,,,,,37.03,2679.95,,,361.0,,,,,500000.0,,,,,,,,,,,
2021/03,리파인,377450,상업서비스와공급품,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13000000.0,,,,,,,,,,,
2021/06,리파인,377450,상업서비스와공급품,208,2288.0,,,,,,,,570.0,109.0,461.0,461.0,,13.0,,,,,,8.0,,,,,23.55,3447.13,,,3546.15,4.96,,,,13000000.0,2409.8,,,,,,,,,,17600.0
2021/09(E),리파인,377450,상업서비스와공급품,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17330000.0,,,,,,,,,,,
2021/12(E),리파인,377450,상업서비스와공급품,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17330000.0,,,,,,,,,,,
2022/03(E),리파인,377450,상업서비스와공급품,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17330000.0,,,,,,,,,,,
2020/09,릭스솔루션,029480,통신장비,136,735.49,136.0,11.0,11.0,2.0,2.0,-7.0,9.0,470.0,319.0,151.0,133.0,18.0,62.0,12.0,-37.0,-3.0,,11.0,170.0,8.31,1.13,-73.02,-22.19,211.04,124.26,,,214.52,5.53,,,,61935285.0,665.59,15.0,,11.03,,,,,3.6,0.1,1187.51
2020/12,릭스솔루션,029480,통신장비,136,457.38,-91.0,-34.0,-34.0,-113.0,-111.0,-98.0,-13.0,386.0,144.0,242.0,242.0,,80.0,-47.0,20.0,6.0,3.0,-50.0,73.0,37.41,121.13,-82.72,-37.98,59.46,210.68,,,302.5,1.89,,,,79665776.0,464.18,-36.4,,40.0,,,,,-2.0,,574.12
2021/03,릭스솔루션,029480,통신장비,136,504.0,38.0,-6.0,-6.0,-21.0,-21.0,-21.0,,490.0,266.0,224.0,224.0,,80.0,-11.0,-51.0,139.0,1.0,-12.0,156.0,-16.58,-55.36,-93.58,-38.68,118.89,187.59,,,280.0,2.25,,,,79665776.0,505.0,-4.9,-24.88,-12.89,,,,,2.0,0.1,632.64
2021/06,릭스솔루션,029480,통신장비,136,495.9,40.0,-4.0,-4.0,5.0,5.0,5.0,,373.0,112.0,261.0,261.0,,84.0,-9.0,26.0,-127.0,1.0,-10.0,67.0,-10.92,12.21,-60.48,-28.05,43.18,215.14,-144.05,-4.1,310.71,1.9,,,,84417839.0,476.1,-10.2,-13.04,-25.5,4.03,146.43,-15.03,-39.29,1.5,0.1,587.44
2021/09,릭스솔루션,029480,통신장비,136,929.0,39.0,-3.0,-3.0,31.0,31.0,31.0,,432.0,107.0,324.0,324.0,,91.0,1.0,53.0,31.0,1.0,,67.0,-7.34,79.58,-36.39,-21.38,33.02,263.29,-91.21,-11.19,356.04,2.87,,,,90822795.0,993.9,-0.8,-19.0,-2.05,35.73,28.57,-19.77,-51.65,1.6,0.1,1022.87
2021/12(E),릭스솔루션,029480,통신장비,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113955215.0,,,,,,,,,,,
2022/03(E),릭스솔루션,029480,통신장비,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113955215.0,,,,,,,,,,,
2022/06(E),릭스솔루션,029480,통신장비,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113955215.0,,,,,,,,,,,
2020/09,린드먼아시아,277070,창업투자,109,666.54,17.0,9.0,9.0,9.0,7.0,7.0,,641.0,158.0,483.0,483.0,,68.0,-80.0,-10.0,89.0,,,,51.91,40.23,9.94,7.94,32.77,614.95,,,3450.0,1.38,,,,13500000.0,,8.9,,52.35,,,,,,,4937.33
2020/12,린드먼아시아,277070,창업투자,109,697.84,47.0,21.0,21.0,21.0,16.0,16.0,,656.0,167.0,488.0,488.0,,68.0,116.0,10.0,-92.0,,,,44.06,33.86,10.79,8.55,34.22,638.36,,,3485.71,1.43,38.0,,31.65,13500000.0,,20.8,,44.26,,,,,,,5169.19
2021/03,린드먼아시아,277070,창업투자,109,770.0,24.0,16.0,16.0,16.0,12.0,12.0,,672.0,171.0,500.0,500.0,,68.0,-51.0,,,,,,65.46,50.78,9.68,7.63,34.28,655.72,,,3571.43,1.54,,,,13500000.0,,15.8,,65.83,,,,,,,5703.7
2021/06,린드먼아시아,277070,창업투자,109,885.56,61.0,39.0,39.0,39.0,30.0,30.0,,710.0,187.0,524.0,524.0,,68.0,64.0,-4.0,-15.0,2.0,,,64.22,49.79,13.12,9.81,35.63,705.25,464.29,13.62,3742.86,1.69,,,,13500000.0,,39.2,,64.26,5.94,1064.29,10.42,607.14,,,6559.7
2021/09,린드먼아시아,277070,창업투자,109,717.0,34.0,19.0,19.0,19.0,15.0,15.0,,704.0,163.0,541.0,541.0,,68.0,48.0,,-58.0,,,,54.57,42.34,14.31,10.89,30.2,720.94,521.43,9.82,3864.29,1.33,,,,13657000.0,,18.8,,55.29,4.32,1185.71,7.55,678.57,,,5250.05
2021/12(E),린드먼아시아,277070,창업투자,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13692000.0,,,,,,,,,,,
2022/03(E),린드먼아시아,277070,창업투자,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13692000.0,,,,,,,,,,,
2022/06(E),린드먼아시아,277070,창업투자,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13692000.0,,,,,,,,,,,
2020/09,링네트,042500,IT서비스,154,863.17,376.0,16.0,16.0,27.0,19.0,19.0,,1049.0,399.0,649.0,649.0,,76.0,-52.0,-49.0,-93.0,,-52.0,17.0,4.27,5.16,9.89,6.43,61.5,852.13,,,4326.67,1.33,,,,15216878.0,1057.77,23.2,,6.17,,,,,1.7,,5672.45
2020/12,링네트,042500,IT서비스,154,948.06,416.0,33.0,33.0,44.0,33.0,33.0,,1232.0,545.0,687.0,687.0,,77.0,139.0,-32.0,68.0,,139.0,77.0,7.82,7.84,11.95,6.96,79.27,892.82,,,4580.0,1.38,,,,15356878.0,1258.26,42.0,,10.1,,,,,1.7,,6173.52
2021/03,링네트,042500,IT서비스,154,809.6,411.0,24.0,24.0,22.0,17.0,17.0,,1237.0,533.0,704.0,704.0,,77.0,-66.0,-66.0,-11.0,91.0,-157.0,62.0,5.78,4.1,12.9,7.34,75.64,915.01,,,4693.33,1.15,,,,15356878.0,991.2,26.5,10.17,6.45,,,,,1.9,,5271.9
2021/06,링네트,042500,IT서비스,154,964.16,637.0,31.0,31.0,35.0,31.0,31.0,,1308.0,572.0,736.0,736.0,,77.0,-82.0,-4.0,-4.0,,-82.0,53.0,4.8,4.85,14.6,8.14,77.73,960.63,666.67,9.64,4906.67,1.31,,,,15356878.0,1064.56,32.5,8.57,5.1,0.52,12266.67,9.27,693.33,1.4,,6278.36
2021/09,링네트,042500,IT서비스,154,921.0,432.0,29.0,29.0,28.0,21.0,21.0,,1365.0,631.0,733.0,733.0,,77.0,23.0,5.0,-43.0,3.0,20.0,36.0,6.61,4.91,14.69,8.42,86.09,988.96,680.0,9.03,4886.67,1.26,,,,15356878.0,1025.0,30.4,7.8,7.04,0.49,12640.0,7.87,780.0,1.6,0.0,5997.31
2021/12(E),링네트,042500,IT서비스,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15356878.0,,,,,,,,,,,
2022/03(E),링네트,042500,IT서비스,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15356878.0,,,,,,,,,,,
