period,shareName,shareCode,marketName,marketCode,mv,totalRevenue,operationIncome,operationIncomePublished,continuingIncomeAndLoseBeforeIncomeTaxes,netIncome,controllingNetIncome,nonControllingNetIncome,assets,liabilities,equity,controllingEquity,nonControllingEquity,commonStock,operatingCashFlow,investingCashFlow,financingCashFlow,capex,fcf,interestBearingLiabilities,operationIncomeMargin,netIncomeMargin,roe,roa,liabilitiesRatio,equityRatio,eps,per,bps,pbr,cashDps,dividendYield,dividendPayoutRatio,shareNum,ev,ebitda,ev/ebitda,ebitdaMargin,psr,sps,por,ops,depreciation,amortization,price
2020/09,마이크로컨텍솔,098120,반도체와반도체장비,202,395.6,96.0,11.0,11.0,11.0,10.0,9.0,,430.0,84.0,346.0,344.0,3.0,42.0,29.0,-6.0,,2.0,28.0,35.0,11.69,10.24,5.58,4.57,24.16,726.78,,,4300.0,1.15,,,,8312766.0,417.4,14.8,,15.42,,,,,4.0,0.3,4758.95
2020/12,마이크로컨텍솔,098120,반도체와반도체장비,202,512.56,112.0,2.0,2.0,-2.0,-1.0,-1.0,,427.0,82.0,345.0,344.0,1.0,42.0,-10.0,8.0,-4.0,4.0,-15.0,31.0,1.93,-1.03,3.32,2.77,23.88,723.8,,,4300.0,1.49,25.0,,-179.86,8312766.0,529.06,1.8,,1.61,,,,,3.9,0.3,6165.94
2021/03,마이크로컨텍솔,098120,반도체와반도체장비,202,477.47,109.0,13.0,13.0,18.0,18.0,18.0,,421.0,60.0,361.0,359.0,1.0,42.0,31.0,5.0,-30.0,10.0,21.0,3.0,12.14,16.42,10.15,8.51,16.65,761.66,,,4487.5,1.33,,,,8312766.0,528.67,21.6,9.94,19.82,,,,,3.9,0.3,5743.82
2021/06,마이크로컨텍솔,098120,반도체와반도체장비,202,646.05,147.0,14.0,14.0,12.0,6.0,6.0,,455.0,88.0,367.0,365.0,2.0,42.0,5.0,-2.0,-3.0,5.0,,4.0,9.68,4.07,9.13,7.47,23.98,775.87,400.0,20.19,4562.5,1.77,,,,8312766.0,694.45,15.9,12.84,10.82,1.39,5800.0,16.15,500.0,4.0,0.4,7771.78
2021/09,마이크로컨텍솔,098120,반도체와반도체장비,202,919.0,167.0,36.0,36.0,39.0,38.0,37.0,,497.0,92.0,404.0,403.0,2.0,42.0,3.0,-22.0,7.0,23.0,-20.0,11.0,21.56,22.52,16.09,13.05,22.78,866.07,750.0,15.32,5037.5,2.28,,,,8312766.0,948.8,43.2,11.5,25.87,1.72,6687.5,14.14,812.5,4.1,0.4,11055.29
2021/12(E),마이크로컨텍솔,098120,반도체와반도체장비,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8312766.0,,,,,,,,,,,
2022/03(E),마이크로컨텍솔,098120,반도체와반도체장비,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8312766.0,,,,,,,,,,,
2022/06(E),마이크로컨텍솔,098120,반도체와반도체장비,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8312766.0,,,,,,,,,,,
2020/09,스카이이앤엠,131100,화학,140,1052.8,49.0,-32.0,-32.0,-91.0,-91.0,-91.0,,635.0,475.0,160.0,160.0,,34.0,-14.0,58.0,119.0,5.0,-18.0,288.0,-66.08,-185.21,-114.45,-52.53,296.15,415.93,,,2666.67,6.58,,,,6266661.0,947.0,-21.3,,-43.47,,,,,5.2,0.8,16800.02
2020/12,스카이이앤엠,131100,화학,140,993.24,72.0,-21.0,-21.0,-38.0,-38.0,-38.0,,643.0,271.0,372.0,372.0,,43.0,-56.0,-95.0,48.0,7.0,-63.0,175.0,-28.95,-53.11,-85.06,-47.25,73.02,794.01,,,4650.0,2.67,,,,8136481.0,897.64,-27.4,,-38.06,,,,,4.0,0.7,12207.24
2021/03,스카이이앤엠,131100,화학,140,884.08,52.0,-24.0,-24.0,-38.0,-38.0,-38.0,,588.0,244.0,344.0,344.0,,44.0,1.0,-25.0,-8.0,40.0,-40.0,177.0,-45.26,-72.12,-92.51,-47.59,70.87,718.09,,,4300.0,2.57,,,,8256241.0,762.28,-25.6,-4.58,-49.23,,,,,4.6,0.2,10708.02
2021/06,스카이이앤엠,131100,화학,140,774.41,18.0,-42.0,-42.0,-90.0,-90.0,-90.0,,482.0,223.0,259.0,259.0,,44.0,14.0,-26.0,,53.0,-39.0,175.0,-240.4,-511.34,-125.6,-50.48,86.23,522.82,-3212.5,-3.01,3237.5,2.99,,,,8256241.0,634.01,-92.6,-3.8,-514.44,4.05,2387.5,-6.51,-1487.5,5.2,0.1,9379.69
2021/09,스카이이앤엠,131100,화학,140,610.47,26.0,-17.0,-17.0,-1.0,-1.0,-1.0,,728.0,371.0,357.0,357.0,,56.0,4.0,-160.0,218.0,30.0,-26.0,245.0,-65.07,-3.73,-64.74,-24.58,103.84,561.45,-1518.18,-3.66,3245.45,1.71,,,,10740713.0,462.67,4.4,-3.28,16.92,3.63,1527.27,-5.87,-945.45,6.3,0.0,5683.7
2021/12,스카이이앤엠,131100,화학,140,378.0,142.0,-18.0,-18.0,-39.0,-39.0,-39.0,,807.0,399.0,408.0,408.0,,61.0,-6.0,111.0,-163.0,-10.0,4.0,219.0,-12.61,-27.78,-43.23,-23.24,97.84,595.12,-1400.0,-2.25,3400.0,0.93,,,,11642629.0,,,,,1.59,1983.33,-3.74,-841.67,,,3246.69
2022/03(E),스카이이앤엠,131100,화학,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11642629.0,,,,,,,,,,,
2022/06(E),스카이이앤엠,131100,화학,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11642629.0,,,,,,,,,,,
2022/09(E),스카이이앤엠,131100,화학,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11642629.0,,,,,,,,,,,
2020/09,포스코엠텍,009520,철강,62,1944.12,627.0,26.0,26.0,29.0,23.0,23.0,,1339.0,385.0,953.0,953.0,,208.0,-1.0,-22.0,-1.0,2.0,-3.0,3.0,4.21,3.61,10.48,7.22,40.43,358.16,,,2269.05,2.04,,,,41642703.0,2003.32,33.9,,5.41,,,,,4.5,1.0,4668.57
2020/12,포스코엠텍,009520,철강,62,1918.36,662.0,18.0,18.0,19.0,13.0,13.0,,1303.0,339.0,964.0,964.0,,208.0,-34.0,39.0,-1.0,4.0,-39.0,2.0,2.68,2.01,10.1,7.26,35.17,363.26,,,2295.24,1.99,80.0,,250.07,41642703.0,1981.96,25.6,,3.87,,,,,4.5,1.0,4606.71
2021/03,포스코엠텍,009520,철강,62,3506.58,704.0,27.0,27.0,29.0,23.0,23.0,,1359.0,393.0,966.0,966.0,,208.0,9.0,-26.0,-1.0,4.0,5.0,2.0,3.87,3.23,8.86,6.17,40.73,363.99,,,2300.0,3.63,,,,41642703.0,3552.08,32.0,27.73,4.55,,,,,4.3,1.0,8420.63
2021/06,포스코엠텍,009520,철강,62,3790.08,726.0,29.0,29.0,30.0,23.0,23.0,,1379.0,392.0,987.0,987.0,,208.0,19.0,9.0,-34.0,5.0,14.0,2.0,4.03,3.13,8.49,6.16,39.75,374.2,195.24,46.22,2350.0,3.84,,,,41642703.0,3829.48,34.4,30.42,4.74,1.39,6473.81,37.9,238.1,4.3,1.1,9101.43
2021/09,포스코엠텍,009520,철강,62,3065.0,870.0,52.0,52.0,53.0,42.0,42.0,,1516.0,488.0,1028.0,1028.0,,208.0,53.0,-31.0,-1.0,3.0,50.0,2.0,6.0,4.78,10.13,7.03,47.51,393.95,240.48,30.35,2447.62,2.98,,,,41642703.0,3125.5,57.4,20.92,6.6,1.03,7052.38,24.33,300.0,4.9,1.1,7360.23
2021/12(E),포스코엠텍,009520,철강,62,3188.6,944.0,54.0,,55.0,43.0,43.0,,1550.0,480.0,1070.0,1070.0,,210.0,,,,,,,5.72,4.55,,,44.86,,311.9,24.34,2547.62,2.98,,,,41642703.0,,54.0,,5.72,0.98,7723.81,19.68,385.71,,,7657.04
2022/03(E),포스코엠텍,009520,철강,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41642703.0,,,,,,,,,,,
2022/06(E),포스코엠텍,009520,철강,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41642703.0,,,,,,,,,,,
2020/09,CMG제약,058820,제약,35,6158.88,171.0,7.0,7.0,7.0,6.0,6.0,,2031.0,198.0,1833.0,1833.0,,694.0,49.0,-113.0,-1.0,31.0,17.0,6.0,3.82,3.33,1.66,1.52,10.8,162.31,,,1318.71,3.36,,,,138892244.0,6202.48,13.0,,7.6,,,,,5.0,1.0,4434.29
2020/12,CMG제약,058820,제약,35,8022.73,169.0,5.0,5.0,-22.0,-25.0,-25.0,,1954.0,142.0,1811.0,1811.0,,694.0,-48.0,80.0,-1.0,3.0,-52.0,5.0,2.94,-14.59,0.12,0.11,7.85,159.04,,,1302.88,4.43,,,,138892244.0,8098.13,-9.1,,-5.38,,,,,4.9,1.0,5776.23
2021/03,CMG제약,058820,제약,35,6083.91,158.0,1.0,1.0,13.0,13.0,13.0,,1957.0,130.0,1827.0,1827.0,,694.0,8.0,7.0,-1.0,1.0,6.0,8.0,0.8,8.19,0.16,0.15,7.12,161.23,,,1314.39,3.33,,,,138892244.0,6169.31,14.6,215.71,9.24,,,,,4.9,1.0,4380.31
2021/06,CMG제약,058820,제약,35,7318.25,173.0,6.0,6.0,,-1.0,-1.0,,1967.0,143.0,1825.0,1825.0,,694.0,27.0,68.0,-1.0,6.0,21.0,7.0,3.23,-0.39,-0.36,-0.34,7.83,160.71,-5.04,-1045.46,1312.95,4.01,,,,138892244.0,7498.55,2.3,360.51,1.33,10.91,482.73,385.17,13.67,5.0,1.3,5269.01
2021/09,CMG제약,058820,제약,35,4590.0,185.0,11.0,11.0,18.0,18.0,18.0,,1974.0,128.0,1846.0,1846.0,,694.0,21.0,-149.0,-1.0,6.0,15.0,6.0,5.74,9.53,0.29,0.26,6.92,163.49,3.6,918.0,1328.06,2.49,,,,138892244.0,4642.8,18.5,176.53,10.0,6.7,492.81,199.57,16.55,5.0,1.3,3304.72
2021/12(E),CMG제약,058820,제약,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138892244.0,,,,,,,,,,,
2022/03(E),CMG제약,058820,제약,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138892244.0,,,,,,,,,,,
2022/06(E),CMG제약,058820,제약,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138892244.0,,,,,,,,,,,
2020/09,ES큐브,050120,기타금융,183,818.04,220.0,9.0,9.0,85.0,74.0,74.0,,5726.0,4923.0,803.0,802.0,1.0,691.0,630.0,-292.0,-324.0,10.0,620.0,55.0,4.29,33.59,-34.84,-5.75,612.85,17.85,,,5728.57,1.02,,,,13564086.0,985.34,13.6,,6.18,,,,,3.5,0.1,6030.93
2020/12,ES큐브,050120,기타금융,183,749.52,198.0,69.0,69.0,-94.0,-104.0,-104.0,,7149.0,6454.0,695.0,694.0,1.0,691.0,-1120.0,1279.0,-268.0,11.0,-1132.0,71.0,34.82,-52.33,-39.39,-4.29,928.65,2.88,,,4957.14,1.08,,,,13564086.0,789.02,-85.5,,-43.18,,,,,4.6,0.2,5525.77
2021/03,ES큐브,050120,기타금융,183,688.86,282.0,75.0,75.0,75.0,77.0,77.0,,9339.0,8563.0,775.0,774.0,1.0,691.0,2083.0,-2128.0,37.0,1.0,2082.0,145.0,26.77,27.41,-22.9,-2.08,1104.7,13.99,,,5528.57,0.89,,,,13564086.0,647.86,83.2,77.13,29.5,,,,,7.1,0.4,5078.56
2021/06,ES큐브,050120,기타금융,183,885.92,316.0,17.0,17.0,10.0,10.0,10.0,,8342.0,7557.0,785.0,784.0,1.0,691.0,-2032.0,2120.0,-2.0,1.0,-2033.0,148.0,5.49,3.09,10.04,0.76,963.01,15.28,407.14,15.54,5600.0,1.13,,,,13564086.0,927.92,21.3,28.46,6.74,0.87,7257.14,5.21,1214.29,4.1,0.5,6531.37
2021/09,ES큐브,050120,기타금융,183,739.0,324.0,24.0,24.0,25.0,21.0,21.0,,9585.0,8773.0,813.0,812.0,1.0,691.0,255.0,5.0,-2.0,1.0,254.0,146.0,7.3,6.46,0.51,0.05,1079.54,18.45,28.57,184.75,5800.0,0.91,,,,13564086.0,1043.9,29.1,21.7,8.98,0.66,8000.0,3.99,1321.43,5.0,0.6,5448.21
2021/12(E),ES큐브,050120,기타금융,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13564086.0,,,,,,,,,,,
2022/03(E),ES큐브,050120,기타금융,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13564086.0,,,,,,,,,,,
2022/06(E),ES큐브,050120,기타금융,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13564086.0,,,,,,,,,,,
2020/09,KB오토시스,024120,자동차부품,36,725.62,340.0,17.0,17.0,17.0,16.0,16.0,,1505.0,482.0,1022.0,1022.0,,58.0,62.0,-12.0,-3.0,13.0,48.0,249.0,5.11,4.67,3.13,2.15,47.2,1699.85,,,8516.67,0.71,,,,11500000.0,601.22,33.3,,9.79,,,,,17.7,0.7,6309.74
2020/12,KB오토시스,024120,자동차부품,36,851.58,445.0,42.0,42.0,29.0,11.0,11.0,,1512.0,486.0,1026.0,1026.0,,58.0,-19.0,-25.0,-12.0,24.0,-43.0,238.0,9.38,2.46,3.24,2.25,47.39,1719.45,,,8550.0,0.83,170.0,,178.16,11500000.0,679.38,65.0,,14.61,,,,,17.7,0.8,7405.04
2021/03,KB오토시스,024120,자동차부품,36,1122.7,312.0,7.0,7.0,29.0,18.0,18.0,,1487.0,458.0,1030.0,1030.0,,58.0,-79.0,71.0,12.0,25.0,-104.0,250.0,2.18,5.62,2.97,2.07,44.48,1716.01,,,8583.33,1.09,,,,11500000.0,945.6,33.7,6.83,10.8,,,,,16.8,0.7,9762.61
2021/06,KB오토시스,024120,자동차부품,36,1014.3,310.0,4.0,4.0,-1.0,4.0,4.0,,1490.0,455.0,1035.0,1035.0,,58.0,135.0,-126.0,-2.0,17.0,118.0,268.0,1.23,1.32,4.75,3.33,43.93,1723.15,408.33,20.7,8625.0,0.98,,,,11500000.0,827.4,17.8,5.52,5.74,0.72,11725.0,14.49,583.33,17.5,0.8,8820.0
2021/09,KB오토시스,024120,자동차부품,36,690.0,301.0,-9.0,-9.0,13.0,11.0,11.0,,1502.0,447.0,1056.0,1056.0,,58.0,-33.0,48.0,-8.0,21.0,-54.0,261.0,-3.07,3.75,4.23,2.92,42.3,1742.78,366.67,15.68,8800.0,0.65,,,,11500000.0,520.1,17.2,3.89,5.71,0.5,11400.0,15.68,366.67,17.7,1.2,6000.0
2021/12(E),KB오토시스,024120,자동차부품,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11500000.0,,,,,,,,,,,
2022/03(E),KB오토시스,024120,자동차부품,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11500000.0,,,,,,,,,,,
2022/06(E),KB오토시스,024120,자동차부품,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11500000.0,,,,,,,,,,,
2020/09,KD,044180,건설,42,385.56,27.0,-31.0,-31.0,-36.0,-34.0,-34.0,,1377.0,1125.0,252.0,252.0,,78.0,-84.0,-149.0,260.0,-109.0,25.0,536.0,-117.6,-128.69,7.56,1.48,447.24,220.02,,,1482.35,1.53,,,,16925457.0,-73.44,-28.0,,-103.7,,,,,2.5,,2277.99
2020/12,KD,044180,건설,42,198.72,18.0,1.0,1.0,24.0,17.0,17.0,,1484.0,1196.0,288.0,288.0,,83.0,-163.0,27.0,85.0,14.0,-177.0,616.0,6.42,95.91,-17.35,-3.94,414.95,233.33,,,1600.0,0.69,,,,17848596.0,-391.08,36.2,,201.11,,,,,4.0,,1113.36
2021/03,KD,044180,건설,42,183.68,33.0,-20.0,-20.0,-1.0,-1.0,-1.0,,1485.0,1197.0,287.0,287.0,,83.0,-17.0,21.0,12.0,2.0,-19.0,630.0,-61.66,-4.17,-16.45,-4.06,416.8,244.92,,,1594.44,0.64,,,,17848596.0,-404.22,3.8,18.37,11.52,,,,,5.9,,1029.1
2021/06,KD,044180,건설,42,239.25,20.0,-24.0,-24.0,27.0,15.0,15.0,,1816.0,1380.0,435.0,435.0,,83.0,-165.0,-5.0,135.0,,-165.0,764.0,-121.94,78.63,-0.83,-0.2,317.23,396.71,-16.67,-79.75,2416.67,0.55,,,,17848596.0,-516.85,29.4,-12.48,147.0,2.44,544.44,-3.23,-411.11,0.7,,1340.44
2021/09,KD,044180,건설,42,255.0,65.0,-29.0,-29.0,-32.0,-32.0,-32.0,,2071.0,1667.0,404.0,404.0,,83.0,53.0,-246.0,190.0,-2.0,55.0,970.0,-44.17,-49.4,-0.32,-0.06,412.97,357.75,-5.56,-255.0,2244.44,0.63,,,,17848596.0,-710.1,-24.3,-15.75,-37.38,1.88,755.56,-3.54,-400.0,2.9,0.0,1428.68
2021/12(E),KD,044180,건설,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24848641.0,,,,,,,,,,,
2022/03(E),KD,044180,건설,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24848641.0,,,,,,,,,,,
2022/06(E),KD,044180,건설,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24848641.0,,,,,,,,,,,
2020/09,SBI핀테크솔루션즈,950110,IT서비스,154,1621.62,298.0,61.0,59.0,48.0,31.0,31.0,,3103.0,2641.0,462.0,462.0,1.0,162.0,-298.0,-51.0,-131.0,4.0,-302.0,1250.0,20.48,10.29,21.85,3.55,571.0,211.91,,,1925.0,3.51,,,,24048040.0,2358.42,70.9,,23.79,,,,,17.3,,6743.25
2020/12,SBI핀테크솔루션즈,950110,IT서비스,154,1838.64,268.0,18.0,89.0,87.0,53.0,53.0,,5007.0,4517.0,490.0,489.0,1.0,153.0,976.0,56.0,778.0,2.0,975.0,1985.0,6.75,19.64,28.12,2.8,922.02,244.58,,,2037.5,3.76,,,,24048040.0,3543.14,102.4,,38.21,,,,,15.3,,7645.7
2021/03,SBI핀테크솔루션즈,950110,IT서비스,154,2129.76,227.0,-1.0,-18.0,-31.0,-21.0,-21.0,,3716.0,3256.0,459.0,459.0,1.0,149.0,-1314.0,-8.0,-191.0,6.0,-1320.0,1795.0,-0.23,-9.14,17.42,2.48,709.26,232.38,,,1912.5,4.64,174.0,,-194.24,24048040.0,2475.46,8.3,10.76,3.66,,,,,21.0,,8856.27
2021/06,SBI핀테크솔루션즈,950110,IT서비스,154,1900.32,239.0,28.0,25.0,15.0,11.0,11.0,,4021.0,3593.0,429.0,428.0,1.0,148.0,-360.0,-55.0,440.0,,-360.0,2221.0,11.66,4.57,17.04,2.01,837.92,212.52,308.33,25.68,1783.33,4.44,,,,24048040.0,1835.12,42.6,8.19,17.82,1.84,4300.0,17.93,441.67,17.7,,7902.18
2021/09,SBI핀테크솔루션즈,950110,IT서비스,154,1611.13,248.0,16.0,11.0,-3.0,-3.0,-3.0,,4381.0,3942.0,440.0,439.0,1.0,154.0,-165.0,-57.0,256.0,6.0,-171.0,2583.0,6.52,-1.11,8.83,1.07,896.77,210.59,166.67,40.28,1829.17,3.67,,,,24048040.0,1294.43,31.2,7.02,12.58,1.64,4091.67,26.41,254.17,19.8,,6699.63
2021/12,SBI핀테크솔루션즈,950110,IT서비스,154,1684.0,225.0,4.0,,-2.0,-1.0,-2.0,,6050.0,5622.0,428.0,427.0,1.0,150.0,1190.0,-39.0,379.0,,1190.0,2966.0,1.78,-0.63,-3.13,-0.25,1314.81,209.57,-62.5,-112.27,1779.17,3.94,,,,24052540.0,,,,,1.79,3912.5,35.83,195.83,,,7001.34
2022/03(E),SBI핀테크솔루션즈,950110,IT서비스,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24052540.0,,,,,,,,,,,
2022/06(E),SBI핀테크솔루션즈,950110,IT서비스,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24052540.0,,,,,,,,,,,
2022/09(E),SBI핀테크솔루션즈,950110,IT서비스,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24052540.0,,,,,,,,,,,
2020/09,가비아,079940,IT서비스,154,1932.56,396.0,52.0,52.0,48.0,40.0,17.0,23.0,2448.0,803.0,1645.0,833.0,812.0,68.0,154.0,-209.0,147.0,10.0,143.0,449.0,13.15,10.13,15.72,10.76,48.79,1166.71,,,5950.0,2.32,,,,13535684.0,2023.56,87.4,,22.07,,,,,47.7,0.7,14277.52
2020/12,가비아,079940,IT서비스,154,1714.96,482.0,100.0,100.0,87.0,83.0,47.0,36.0,2600.0,868.0,1732.0,884.0,848.0,68.0,127.0,-160.0,18.0,351.0,-224.0,504.0,20.68,17.25,14.99,10.33,50.13,1242.18,,,6314.29,1.94,60.0,,16.7,13535684.0,1729.96,146.0,,30.29,,,,,51.0,1.3,12669.92
2021/03,가비아,079940,IT서비스,154,2029.44,432.0,64.0,64.0,70.0,57.0,30.0,27.0,2616.0,849.0,1767.0,906.0,861.0,68.0,45.0,-47.0,-33.0,17.0,29.0,481.0,14.8,13.21,15.63,10.67,48.05,1274.37,,,6471.43,2.24,,,,13535684.0,2036.44,112.5,4.31,26.04,,,,,49.0,1.3,14993.26
2021/06,가비아,079940,IT서비스,154,2220.76,489.0,67.0,67.0,67.0,51.0,18.0,33.0,2659.0,823.0,1836.0,941.0,895.0,68.0,83.0,-194.0,-39.0,24.0,60.0,458.0,13.7,10.48,12.76,9.19,44.82,1319.95,800.0,19.83,6721.43,2.36,,,,13535684.0,2101.66,117.7,4.53,24.07,1.23,12850.0,7.85,2021.43,50.4,1.4,16406.71
2021/09,가비아,079940,IT서비스,154,1699.0,501.0,81.0,81.0,93.0,75.0,38.0,37.0,2758.0,845.0,1913.0,979.0,935.0,68.0,128.0,-94.0,-8.0,60.0,69.0,509.0,16.25,14.97,14.72,10.23,44.18,1376.31,950.0,12.77,6992.86,1.74,,,,13535684.0,1561.6,133.8,3.06,26.71,0.89,13600.0,5.45,2228.57,50.9,1.3,12552.01
2021/12(E),가비아,079940,IT서비스,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13535684.0,,,,,,,,,,,
2022/03(E),가비아,079940,IT서비스,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13535684.0,,,,,,,,,,,
2022/06(E),가비아,079940,IT서비스,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13535684.0,,,,,,,,,,,
2020/09,가온미디어,078890,전자제품,213,880.0,1371.0,37.0,37.0,14.0,20.0,23.0,-3.0,3638.0,2061.0,1577.0,1600.0,-24.0,75.0,266.0,-113.0,89.0,10.0,256.0,1055.0,2.71,1.49,4.23,1.71,130.76,2056.58,,,10000.0,0.55,,,,15652018.0,287.5,54.8,,4.0,,,,,13.1,1.1,5622.28
2020/12,가온미디어,078890,전자제품,213,954.6,1233.0,7.0,7.0,-45.0,-18.0,-14.0,-4.0,3305.0,1721.0,1584.0,1591.0,-7.0,75.0,314.0,87.0,-135.0,5.0,310.0,894.0,0.54,-1.43,1.85,0.63,108.64,2054.5,,,9943.75,0.6,48.0,,-51.69,15652018.0,760.5,-2.6,,-0.21,,,,,10.6,1.5,6098.89
2021/03,가온미디어,078890,전자제품,213,1814.4,1215.0,71.0,71.0,73.0,60.0,62.0,-2.0,3549.0,1874.0,1674.0,1680.0,-6.0,79.0,27.0,-35.0,-67.0,7.0,20.0,836.0,5.87,4.95,3.58,1.39,111.94,2062.93,,,10500.0,1.08,,,,16155561.0,1614.4,88.7,9.09,7.3,,,,,11.2,1.2,11230.81
2021/06,가온미디어,078890,전자제품,213,2120.4,1375.0,87.0,87.0,104.0,94.0,96.0,-2.0,3839.0,2082.0,1757.0,1767.0,-10.0,79.0,-30.0,-20.0,144.0,12.0,-42.0,888.0,6.33,6.84,9.99,4.38,118.53,2184.31,1043.75,12.7,11043.75,1.2,,,,16155561.0,1959.6,97.7,8.21,7.11,0.41,32462.5,10.5,1262.5,10.1,1.5,13124.89
2021/09,가온미디어,078890,전자제품,213,2045.0,1492.0,74.0,74.0,90.0,76.0,77.0,-1.0,3955.0,2121.0,1834.0,1845.0,-12.0,79.0,-358.0,-56.0,125.0,10.0,-369.0,1021.0,4.94,5.07,12.85,5.59,115.67,2281.35,1381.25,9.25,11531.25,1.11,,,,16155561.0,1482.1,98.0,5.26,6.57,0.38,33218.75,8.56,1493.75,10.7,1.3,12658.18
2021/12(E),가온미디어,078890,전자제품,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15851946.0,,,,,,,,,,,
2022/03(E),가온미디어,078890,전자제품,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15851946.0,,,,,,,,,,,
2022/06(E),가온미디어,078890,전자제품,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15851946.0,,,,,,,,,,,
2020/09,감성코퍼레이션,036620,종이와목재,196,440.99,42.0,-16.0,-16.0,-21.0,-21.0,-21.0,,387.0,176.0,211.0,211.0,,320.0,-14.0,19.0,16.0,8.0,-22.0,125.0,-37.71,-50.64,-45.25,-24.11,83.71,45.32,,,329.69,2.09,,,,64046006.0,383.89,-11.8,,-28.1,,,,,3.0,0.1,688.55
2020/12,감성코퍼레이션,036620,종이와목재,196,490.88,60.0,-11.0,-11.0,-8.0,-8.0,-8.0,,366.0,130.0,236.0,236.0,,346.0,-37.0,14.0,-12.0,3.0,-39.0,99.0,-17.93,-12.9,-25.12,-13.23,55.15,18.2,,,342.03,2.08,,,,69111364.0,424.88,-9.6,,-16.0,,,,,3.4,0.1,710.27
2021/03,감성코퍼레이션,036620,종이와목재,196,612.79,61.0,-12.0,-12.0,-12.0,-12.0,-12.0,,370.0,134.0,236.0,233.0,3.0,354.0,-28.0,21.0,3.0,1.0,-29.0,96.0,-19.05,-19.6,-27.59,-14.56,56.92,14.99,,,328.17,2.63,,,,70745350.0,545.49,-7.3,-14.06,-11.97,,,,,3.4,0.1,866.19
2021/06,감성코퍼레이션,036620,종이와목재,196,1384.44,94.0,-5.0,-5.0,-1.0,-1.0,-1.0,,369.0,117.0,252.0,249.0,3.0,370.0,-5.0,11.0,-9.0,9.0,-14.0,81.0,-4.95,-1.18,-18.43,-11.81,46.64,13.47,-56.76,-32.96,336.49,5.56,,,,74015708.0,1328.74,-2.0,-43.28,-2.13,5.39,347.3,-31.46,-59.46,4.0,0.1,1870.47
2021/09,감성코퍼레이션,036620,종이와목재,196,1602.0,104.0,-3.0,-3.0,-7.0,-7.0,-6.0,-1.0,453.0,191.0,262.0,260.0,2.0,377.0,22.0,-21.0,8.0,9.0,13.0,110.0,-2.47,-7.2,-11.43,-6.73,72.76,14.36,-36.0,-59.33,346.67,6.16,,,,75322897.0,1526.1,-3.1,-69.37,-2.98,5.02,425.33,-51.68,-41.33,-1.3,0.1,2126.84
2021/12(E),감성코퍼레이션,036620,종이와목재,196,1798.4,218.0,20.0,,,22.0,22.0,,470.0,150.0,320.0,320.0,,370.0,,,,,,,9.17,10.09,,,46.88,,3.85,599.47,410.26,5.62,,,,78155673.0,,20.0,,9.17,3.77,611.54,1798.4,0.0,,,2301.05
2022/03(E),감성코퍼레이션,036620,종이와목재,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78155673.0,,,,,,,,,,,
2022/06(E),감성코퍼레이션,036620,종이와목재,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78155673.0,,,,,,,,,,,
