period,shareName,shareCode,marketName,marketCode,mv,totalRevenue,operationIncome,operationIncomePublished,continuingIncomeAndLoseBeforeIncomeTaxes,netIncome,controllingNetIncome,nonControllingNetIncome,assets,liabilities,equity,controllingEquity,nonControllingEquity,commonStock,operatingCashFlow,investingCashFlow,financingCashFlow,capex,fcf,interestBearingLiabilities,operationIncomeMargin,netIncomeMargin,roe,roa,liabilitiesRatio,equityRatio,eps,per,bps,pbr,cashDps,dividendYield,dividendPayoutRatio,shareNum
2020/09,에이스테크,088800,통신장비,136,11564.0,566.0,-111.0,-111.0,-126.0,-127.0,-127.0,,3897.0,3074.0,823.0,826.0,-3.0,221.0,59.0,264.0,-296.0,74.0,-15.0,2073.0,-19.51,-22.37,-66.69,-16.01,373.48,256.12,-286.0,,1879.0,14.0,,,,40957928.0
2020/12,에이스테크,088800,통신장비,136,12339.57,516.0,-225.0,-225.0,-326.0,-400.0,-400.0,1.0,3530.0,2815.0,715.0,717.0,-2.0,229.0,-74.0,-33.0,133.0,81.0,-155.0,1934.0,-43.64,-77.41,-103.89,-22.67,393.7,211.75,-903.0,,1578.0,17.21,,,,40957928.0
2021/03,에이스테크,088800,통신장비,136,9282.9,525.0,-159.0,-159.0,-146.0,-146.0,-146.0,,3614.0,3034.0,580.0,582.0,-3.0,229.0,-113.0,-62.0,131.0,15.0,-128.0,2122.0,-30.22,-27.82,-124.71,-21.69,523.53,147.99,-319.0,,1282.0,15.95,,,,40957928.0
2021/06,에이스테크,088800,통신장비,136,9011.7,586.0,-9.0,-9.0,37.0,37.0,37.0,,3463.0,2611.0,852.0,855.0,-3.0,242.0,67.0,-102.0,-6.0,12.0,54.0,1790.0,-1.51,6.26,-70.43,-16.35,306.39,248.58,79.0,,1775.0,10.54,,,,43723601.0
2021/09,에이스테크,088800,통신장비,136,5050.0,582.0,-44.0,-44.0,11.0,9.0,9.0,,3840.0,2959.0,881.0,885.0,-4.0,242.0,-134.0,-7.0,235.0,14.0,-148.0,2116.0,-7.52,1.54,-58.42,-12.93,335.73,251.75,19.0,,1837.0,8.74,,,,43723601.0
2021/12(E),에이스테크,088800,통신장비,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43723601.0
2022/03(E),에이스테크,088800,통신장비,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43723601.0
2022/06(E),에이스테크,088800,통신장비,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43723601.0
2020/09,에이스토리,241840,방송과엔터테인먼트,204,915.75,29.0,-5.0,-5.0,-9.0,-8.0,-8.0,,418.0,143.0,275.0,275.0,,47.0,25.0,75.0,-14.0,,25.0,2.0,-16.4,-28.85,-33.63,-26.8,52.2,494.54,-90.0,,3002.0,3.33,,,,9318240.0
2020/12,에이스토리,241840,방송과엔터테인먼트,204,3487.52,148.0,6.0,6.0,30.0,31.0,31.0,,552.0,245.0,307.0,307.0,,47.0,-14.0,15.0,-1.0,,-14.0,2.0,3.78,20.82,-21.3,-15.47,79.64,561.17,330.0,,3358.0,11.36,,,,9318240.0
2021/03,에이스토리,241840,방송과엔터테인먼트,204,4617.11,162.0,8.0,8.0,14.0,17.0,17.0,,603.0,206.0,397.0,397.0,,47.0,18.0,-69.0,85.0,3.0,15.0,6.0,4.66,10.54,-14.23,-11.09,51.75,716.32,182.0,,4238.0,11.63,,,,9374340.0
2021/06,에이스토리,241840,방송과엔터테인먼트,204,3130.19,253.0,45.0,45.0,102.0,94.0,94.0,,985.0,524.0,461.0,461.0,,48.0,-62.0,-269.0,384.0,3.0,-66.0,92.0,17.73,36.94,,,113.55,933.54,981.0,,4891.0,6.79,,,,9531760.0
2021/09,에이스토리,241840,방송과엔터테인먼트,204,2936.0,49.0,,,-19.0,-18.0,-18.0,,990.0,576.0,414.0,414.0,,48.0,-116.0,107.0,-30.0,3.0,-119.0,98.0,0.63,-35.76,,,139.01,896.7,-185.0,,4439.0,9.16,,,,9531760.0
2021/12(E),에이스토리,241840,방송과엔터테인먼트,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9531760.0
2022/03(E),에이스토리,241840,방송과엔터테인먼트,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9531760.0
2022/06(E),에이스토리,241840,방송과엔터테인먼트,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9531760.0
2020/09,에이에프더블류,312610,전기제품,221,1335.88,20.0,-4.0,-4.0,-1.0,-1.0,-1.0,,789.0,56.0,734.0,734.0,,51.0,15.0,-3.0,,4.0,12.0,43.0,-18.19,-3.89,3.77,3.48,7.58,1406.35,-4.0,48.89,3590.0,1.82,,,,20256888.0
2020/12,에이에프더블류,312610,전기제품,221,1626.56,25.0,-1.0,-1.0,,4.0,4.0,,756.0,20.0,736.0,736.0,,51.0,,-11.0,-33.0,5.0,-5.0,10.0,-5.47,16.45,2.24,2.13,2.66,1411.28,20.0,99.92,3635.0,2.21,,,,20256888.0
2021/03,에이에프더블류,312610,전기제품,221,1803.18,15.0,-7.0,-7.0,-5.0,-3.0,-3.0,,753.0,20.0,733.0,733.0,,101.0,9.0,-17.0,,7.0,2.0,10.0,-46.76,-20.96,,,2.73,652.03,-16.0,62445.25,3617.0,2.46,,,,20256888.0
2021/06,에이에프더블류,312610,전기제품,221,1771.47,18.0,-6.0,-6.0,-5.0,-3.0,-3.0,,746.0,16.0,729.0,729.0,,101.0,5.0,-6.0,-5.0,1.0,4.0,5.0,-35.21,-18.16,-0.42,-0.4,2.25,648.84,-16.0,,3601.0,2.43,,,,20256888.0
2021/09,에이에프더블류,312610,전기제품,221,1250.44,17.0,-7.0,-7.0,-4.0,-2.0,-2.0,,745.0,18.0,727.0,727.0,,101.0,,-4.0,,4.0,-4.0,5.0,-40.3,-13.97,-0.65,-0.62,2.53,646.47,-12.0,,3589.0,1.72,,,,20256888.0
2021/12,에이에프더블류,312610,전기제품,221,1126.0,21.0,-4.0,-4.0,-32.0,-34.0,-34.0,,711.0,18.0,693.0,693.0,,101.0,-1.0,-4.0,0.0,4.0,-4.0,5.0,-21.05,-158.99,-5.96,-5.81,2.58,613.18,-166.0,,3422.0,1.88,,,,20256888.0
2022/03(E),에이에프더블류,312610,전기제품,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20256888.0
2022/06(E),에이에프더블류,312610,전기제품,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20256888.0
2022/09(E),에이에프더블류,312610,전기제품,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20256888.0
2020/09,HB솔루션,297890,디스플레이장비및부품,199,1469.65,41.0,-20.0,-20.0,-22.0,-22.0,-22.0,,662.0,207.0,455.0,455.0,,36.0,-18.0,-51.0,,,-18.0,170.0,-48.52,-52.81,,,45.5,1637.58,-247.0,,5139.0,3.23,,,,7109450.0
2020/12,HB솔루션,297890,디스플레이장비및부품,199,1384.7,78.0,4.0,4.0,-2.0,-2.0,-2.0,,660.0,206.0,454.0,454.0,,36.0,42.0,-1.0,-1.0,,42.0,168.0,5.05,-3.01,-6.01,-3.8,45.42,1634.68,-26.0,,5127.0,3.05,,,,7109450.0
2021/03,HB솔루션,297890,디스플레이장비및부품,199,1583.4,61.0,-19.0,-19.0,-19.0,-19.0,-19.0,,624.0,188.0,435.0,435.0,,36.0,-99.0,1.0,,,-99.0,171.0,-30.75,-30.57,-11.19,-7.41,43.24,1582.64,-210.0,,4918.0,3.64,,,,7109450.0
2021/06,HB솔루션,297890,디스플레이장비및부품,199,1830.12,54.0,-1.0,-1.0,2.0,2.0,2.0,,621.0,17.0,604.0,604.0,,44.0,-65.0,33.0,-1.0,,-65.0,,-2.59,3.53,-7.58,-6.33,2.89,1631.47,21.0,,6821.0,3.03,,,,8854910.0
2021/09,HB솔루션,297890,디스플레이장비및부품,199,3175.0,175.0,12.0,12.0,31.0,31.0,31.0,,1170.0,227.0,943.0,943.0,,83.0,18.0,-39.0,10.0,2.0,16.0,70.0,7.16,17.92,1.75,1.34,24.02,1228.93,191.0,168.59,5667.0,3.39,,,,16645289.0
2021/12(E),HB솔루션,297890,디스플레이장비및부품,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16713053.0
2022/03(E),HB솔루션,297890,디스플레이장비및부품,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16713053.0
2022/06(E),HB솔루션,297890,디스플레이장비및부품,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16713053.0
2020/09,HB테크놀러지,078150,디스플레이장비및부품,199,1444.15,1014.0,52.0,52.0,48.0,50.0,69.0,-20.0,2867.0,790.0,2078.0,1699.0,378.0,395.0,82.0,42.0,9.0,3.0,80.0,374.0,5.1,4.9,10.26,5.64,38.01,364.15,88.0,8.98,2231.0,0.85,,,,78990426.0
2020/12,HB테크놀러지,078150,디스플레이장비및부품,199,1697.44,624.0,-68.0,-68.0,-105.0,-103.0,-102.0,-1.0,2814.0,782.0,2033.0,1648.0,385.0,395.0,162.0,-59.0,-26.0,3.0,159.0,385.0,-10.94,-16.56,2.21,0.29,38.45,347.33,-129.0,48.96,2164.0,1.03,20.0,,-14.93,78990426.0
