period,shareName,shareCode,marketName,marketCode,assets,currentAssets,inventory,shortTermFinancialAssets,accountsReceivables,contractAssets,otherCurrentAssets,cashAndEquivalents,nonCurrentAssetsHeldForSaleOrDisposedAssets,nonCurrentAssets,tangibleAssets,intangibleAssets,InvestmentProperty,investments,longTermAccountsReceivables,deferredIncomeTaxAssets,otherNonCurrentAssets,liabilities,currentLiabilities,shorTermBonds,shorTermBorrowings,longTernCurrentLiabilities,currentFinancialLiabilities,accountsPayable,currentPortionOfProvision,currentDeferredIncomeTaxLiabilities,contractLiabilities,returnLiabilities,otherCurrentLiabilities,nonCurrentLiabilities,bonds,longTermBorrowings,nonCurrentFinancialLiabilities,longTermAccountsPayable,nonCurrentPortionOfProvision,deferredIncomeTaxLiabilities,otherNonCurrentLiabilities,interestBearingLiabilities,netDebt,capex,equity,controllingInterest,commonStock,hybridSecurities,capitalSurplus,capitalAdjustments,retainedEarnings
2020/09,큐렉소,060280,판매업체,164,473.9,362.5,240.2,31.3,79.4,,2.4,8.9,,111.4,8.0,55.2,,15.0,29.3,,4.0,43.9,36.1,4.0,,2.0,2.5,22.8,2.3,,,,2.6,7.7,,,2.0,,,,,8.0,-30.9,3.5,430.0,430.0,166.8,,1578.9,3.4,-1315.2
2020/12,큐렉소,060280,판매업체,164,488.8,390.6,211.9,36.3,113.3,,3.9,25.1,,98.1,10.2,55.1,,,29.4,,3.5,40.8,34.1,2.0,,2.0,1.4,24.2,2.6,,,,1.9,6.7,,,1.5,,0.2,,,5.5,-54.5,6.6,447.9,447.9,167.0,,1581.9,3.4,-1300.5
2021/03,큐렉소,060280,판매업체,164,468.0,366.8,226.7,36.4,94.0,,4.1,5.5,,101.2,9.6,55.0,,,33.7,,3.0,33.2,26.9,0.5,,2.0,0.3,18.9,2.8,,,,2.3,6.3,,,1.0,,0.3,,,3.5,-37.0,0.4,434.9,434.9,167.2,,1584.3,3.4,-1316.1
2021/06,큐렉소,060280,판매업체,164,626.8,499.6,251.7,111.6,103.7,,2.7,29.6,,127.2,8.6,54.2,,32.1,29.9,,2.5,183.0,36.9,0.5,,1.9,0.7,28.4,3.0,,,,2.3,146.1,46.9,,95.3,,0.3,,,50.0,-89.6,0.4,443.8,443.8,167.2,,1584.3,3.4,-1307.1
2021/09,큐렉소,060280,판매업체,164,612.9,480.4,293.9,51.9,105.0,,2.4,27.1,,132.5,12.3,53.6,,32.1,31.9,,2.6,179.9,29.4,0.5,,1.7,0.7,22.1,,,,,1.9,150.5,50.0,,95.7,,0.2,,,53.2,-23.9,5.2,433.0,433.0,167.2,,1584.3,3.4,-1318.0
2021/12(E),큐렉소,060280,판매업체,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/06,큐로컴,040350,IT서비스,154,935.9,72.1,8.0,20.5,24.8,,11.3,6.7,,863.8,69.2,20.4,,774.2,,,,546.9,469.1,58.7,222.4,,1.7,185.4,,,,,0.9,77.8,,13.4,19.7,0.1,,,,309.7,303.0,0.7,389.0,517.1,568.8,,1435.8,-5.4,-1493.4
2020/09,큐로컴,040350,IT서비스,154,878.9,165.2,3.4,73.6,51.2,,11.8,21.0,,713.7,3.1,18.2,,683.1,,,9.3,409.3,355.2,,109.8,,86.2,158.7,,,,,0.5,54.1,,13.4,4.9,0.5,,,,124.3,103.3,3.9,469.7,492.0,568.8,,1515.8,-5.4,-1584.3
2020/12,큐로컴,040350,IT서비스,154,828.4,127.6,3.9,66.2,31.1,,10.2,11.5,,700.8,3.7,18.4,,678.7,,,,335.0,281.8,22.9,208.6,,3.7,46.5,,,,,,53.2,,13.3,3.2,0.5,,,,246.4,234.9,4.3,493.4,528.5,597.3,,1547.5,-5.4,-1595.7
2021/03,큐로컴,040350,IT서비스,154,824.7,127.7,3.2,66.2,34.2,,11.5,7.8,,697.0,3.9,19.7,,673.5,,,,354.9,302.7,23.6,217.3,,4.0,57.7,,,,,0.1,52.2,,13.3,2.4,0.5,,,,255.6,247.8,0.8,469.8,510.7,597.3,,1547.5,-5.4,-1612.1
