BAS_DD,ACC_TRDVOL,ACC_TRDVAL,MKTCAP
2010/04/27,967882718.0,7439388787772.0,1025374294068000.0
2010/04/28,1126776037.0,8699908258250.0,1016993534021065.0
2010/04/29,1114598057.0,8857192139163.0,1015979035385980.0
2010/04/30,1170331787.0,8933761003226.0,1023802128350965.0
2010/05/01,,,
2010/05/02,,,
2010/05/03,1064737448.0,7346092237050.0,1012437925927110.0
2010/05/04,941471378.0,7244194666942.0,1011175238292175.0
2010/05/05,,,
2010/05/06,1042822508.0,8229646575348.0,991380484482940.0
2010/05/07,1201639714.0,9686424632542.0,969985083323925.0
2010/05/08,,,
2010/05/09,,,
2010/05/10,935823691.0,7323226521907.0,988089137749785.0
2010/05/11,1097630627.0,8796066842661.0,984022652312555.0
2010/05/12,1154167025.0,9941584291994.0,1003342385464610.0
2010/05/13,1050777178.0,8559408786407.0,1022492650084985.0
2010/05/14,1106858798.0,9536061308365.0,1023790228748680.0
2010/05/15,,,
2010/05/16,,,
2010/05/17,1025451854.0,9512860264428.0,997518708792855.0
2010/05/18,1147599811.0,9405094379481.0,991706560330335.0
2010/05/19,1109364676.0,8854005592188.0,986021540768485.0
2010/05/20,929626154.0,8535629038196.0,966348956155770.0
2010/05/21,,,
2010/05/22,,,
2010/05/23,,,
2010/05/24,742444133.0,6457585660454.0,968331817134970.0
2010/05/25,1181330580.0,9165652249105.0,939368641693365.0
2010/05/26,878864445.0,8469960380751.0,953325764168885.0
2010/05/27,962409859.0,8110590143599.0,969258646270175.0
2010/05/28,848170649.0,7859288501674.0,978888519308715.0
2010/05/29,,,
2010/05/30,,,
2010/05/31,741932737.0,6046843574368.0,990979029885970.0
2010/06/01,814086452.0,6704265579202.0,985130332681920.0
2010/06/02,,,
2010/06/03,752446758.0,6908957209683.0,1003620472432190.0
2010/06/04,771685843.0,6923201908796.0,1004791112239250.0
2010/06/05,,,
2010/06/06,,,
2010/06/07,771195092.0,6546247749653.0,988744535064280.0
2010/06/08,702555709.0,6805626118154.0,997696224951775.0
2010/06/09,817104067.0,7419179690674.0,994537015262395.0
2010/06/10,741843024.0,7131056377570.0,998165157208755.0
2010/06/11,871353352.0,7425311755263.0,1011577937799130.0
2010/06/12,,,
2010/06/13,,,
2010/06/14,810070858.0,6337805805894.0,1020455989090220.0
2010/06/15,846417322.0,6475819501391.0,1020615320945620.0
2010/06/16,826477298.0,7247898344290.0,1029241925143425.0
2010/06/17,825521211.0,7338982059200.0,1030535267578070.0
2010/06/18,763640729.0,6030941527215.0,1032683774426455.0
2010/06/19,,,
2010/06/20,,,
2010/06/21,875030850.0,7540767964044.0,1048329696600960.0
2010/06/22,845328213.0,6845624804640.0,1043222373712665.0
2010/06/23,782536519.0,6307523071280.0,1039890146019915.0
2010/06/24,848299398.0,6090451870696.0,1048356274188470.0
2010/06/25,784729573.0,6137400850219.0,1042870864455670.0
2010/06/26,,,
2010/06/27,,,
2010/06/28,811549093.0,5367896038968.0,1044173123225645.0
2010/06/29,931184861.0,6732085363207.0,1028437733632255.0
2010/06/30,877800239.0,6892772260924.0,1024517568349500.0
2010/07/01,750825180.0,7208005170656.0,1017522699747465.0
2010/07/02,768441231.0,6965212549519.0,1009273716271200.0
2010/07/03,,,
2010/07/04,,,
2010/07/05,777854229.0,5424561913805.0,1011603043827365.0
2010/07/06,768096975.0,6154872982158.0,1017275055795925.0
2010/07/07,810425216.0,5921218067245.0,1011450040780335.0
2010/07/08,793190771.0,6424536215486.0,1024542450012990.0
2010/07/09,958665712.0,7085723763022.0,1038792625026500.0
2010/07/10,,,
2010/07/11,,,
2010/07/12,822659166.0,6158255371386.0,1046019390338790.0
2010/07/13,1002861700.0,7385905657511.0,1047040793590375.0
2010/07/14,1127491246.0,9858494590188.0,1060254866644370.0
2010/07/15,1047011563.0,7340947549559.0,1057021191451545.0
2010/07/16,973934287.0,7842368831409.0,1049534803676105.0
2010/07/17,,,
2010/07/18,,,
2010/07/19,790639221.0,6013641407882.0,1045824224353315.0
2010/07/20,997594785.0,6556677340790.0,1048983853912875.0
2010/07/21,1099508897.0,7693059124118.0,1055350462730965.0
2010/07/22,1075832574.0,9062176801304.0,1045662459988110.0
2010/07/23,929516811.0,8572651379019.0,1058025155077990.0
2010/07/24,,,
2010/07/25,,,
2010/07/26,832975267.0,6411651351529.0,1065190191654940.0
2010/07/27,1002623691.0,7314850952915.0,1065030995923740.0
2010/07/28,881510170.0,6708390298418.0,1067910858716480.0
2010/07/29,960116785.0,7042303576910.0,1065738201670365.0
2010/07/30,860744568.0,6597535041950.0,1060265334601785.0
2010/07/31,,,
2010/08/01,,,
2010/08/02,832008024.0,7087002945819.0,1073071295773380.0
2010/08/03,929578976.0,7051744380752.0,1077731738057340.0
2010/08/04,877354331.0,7128838949636.0,1076793658896030.0
2010/08/05,874241623.0,7682008692915.0,1072945032634435.0
2010/08/06,888082591.0,7060995198292.0,1073278066764985.0
2010/08/07,,,
2010/08/08,,,
2010/08/09,785976344.0,5490370224903.0,1077630552018630.0
2010/08/10,854403345.0,6582191196522.0,1072493709840790.0
2010/08/11,996718286.0,7275799775460.0,1058724731095490.0
2010/08/12,929786343.0,7030497446127.0,1038168837190390.0
2010/08/13,801822464.0,5891312470430.0,1053053997105420.0
2010/08/14,,,
2010/08/15,,,
2010/08/16,817738363.0,5553688291311.0,1051223288059850.0
2010/08/17,999161051.0,6256834325583.0,1057805623972105.0
2010/08/18,854702355.0,6503210385460.0,1061807275529445.0
2010/08/19,868416977.0,6816565308428.0,1071913543794865.0
2010/08/20,851104792.0,6568363554224.0,1069697586055230.0
2010/08/21,,,
2010/08/22,,,
2010/08/23,820976505.0,6909404290611.0,1064895106469100.0
2010/08/24,944450237.0,6832665512961.0,1060702651027900.0
2010/08/25,836520228.0,6329723876786.0,1045097598500510.0
2010/08/26,856630287.0,6269716269261.0,1041794741361250.0
2010/08/27,734247492.0,5520768676139.0,1041310558510840.0
2010/08/28,,,
2010/08/29,,,
2010/08/30,781158690.0,5248972315048.0,1058749637947820.0
2010/08/31,810415927.0,6389861954846.0,1048894549332650.0
2010/09/01,873826178.0,7350940826117.0,1061933458554780.0
2010/09/02,832568614.0,7106196595121.0,1068580575568390.0
2010/09/03,916304887.0,7585540687420.0,1071737909719530.0
2010/09/04,,,
2010/09/05,,,
2010/09/06,846146484.0,6999915093464.0,1079439298610295.0
2010/09/07,1021057181.0,6465744253882.0,1076431342659550.0
2010/09/08,898184613.0,6482409148520.0,1071536144511665.0
2010/09/09,913633062.0,7692753903375.0,1075056260392670.0
2010/09/10,823418362.0,7176011569907.0,1085820427924095.0
2010/09/11,,,
2010/09/12,,,
2010/09/13,875578737.0,8313235985635.0,1096117733582825.0
2010/09/14,920322186.0,8508607887951.0,1093817544532585.0
2010/09/15,903700928.0,8418704531024.0,1098710800231995.0
2010/09/16,865095705.0,7380004550191.0,1092115430112625.0
2010/09/17,920733144.0,8447601724775.0,1101032147949970.0
2010/09/18,,,
2010/09/19,,,
2010/09/20,654149504.0,5373505822836.0,1104242205498035.0
2010/09/21,,,
2010/09/22,,,
2010/09/23,,,
2010/09/24,663496377.0,6826180951830.0,1112181782409275.0
2010/09/25,,,
2010/09/26,,,
2010/09/27,797818273.0,8411948118259.0,1120662678645160.0
2010/09/28,887994098.0,8017307657146.0,1118708136120390.0
2010/09/29,828210239.0,8946444441608.0,1124866386251230.0
2010/09/30,834133924.0,7860231368942.0,1129155067182815.0
2010/10/01,869156758.0,8467454562656.0,1132159622031080.0
2010/10/02,,,
2010/10/03,,,
2010/10/04,907362434.0,8774861364421.0,1133568247001672.0
2010/10/05,798861666.0,7870931373622.0,1133461183409385.0
2010/10/06,891148357.0,9350346247092.0,1148188730816344.0
2010/10/07,917058380.0,9302942728137.0,1145742776015940.0
2010/10/08,820670694.0,8660545741028.0,1143744015796937.0
2010/10/09,,,
2010/10/10,,,
2010/10/11,785218684.0,7646272376137.0,1139639644911121.0
2010/10/12,798665618.0,7461368672351.0,1126826955235828.0
2010/10/13,828462364.0,7770208065237.0,1132284737224973.0
2010/10/14,828090317.0,9341717284962.0,1146557132366468.0
2010/10/15,825934845.0,8301845481007.0,1149783990114826.0
2010/10/16,,,
2010/10/17,,,
2010/10/18,878904565.0,7911453499701.0,1136407666856811.0
2010/10/19,911430894.0,7859100581546.0,1126449119660868.0
2010/10/20,868075689.0,8022015051285.0,1134993731697436.0
2010/10/21,954967415.0,9421978096657.0,1138242054491561.0
2010/10/22,896468656.0,8055491089032.0,1151096268222816.0
2010/10/23,,,
2010/10/24,,,
2010/10/25,920163135.0,8579175728166.0,1161822738891215.0
2010/10/26,923754402.0,8672543184803.0,1164114615293105.0
2010/10/27,998905727.0,9098448156588.0,1158914044059334.0
2010/10/28,925053061.0,7744906411542.0,1157940327162126.0
2010/10/29,900346993.0,8138795992234.0,1144190167652451.0
2010/10/30,,,
2010/10/31,,,
2010/11/01,902544201.0,8242035804067.0,1162457137123067.0
2010/11/02,935589581.0,8714892398669.0,1163379957739401.0
2010/11/03,944380945.0,9020281960688.0,1173842229841133.0
2010/11/04,934545845.0,8851276959605.0,1179066036269264.0
2010/11/05,1002473582.0,10218064672781.0,1177053997925170.0
2010/11/06,,,
2010/11/07,,,
2010/11/08,887708456.0,7248419495375.0,1178757744055461.0
2010/11/09,825919229.0,8184984578260.0,1180841741600136.0
2010/11/10,902684318.0,8518356166926.0,1192665740930977.0
2010/11/11,968186693.0,11433694662480.0,1163044210724728.0
2010/11/12,1164534023.0,11757845138688.0,1159262468983598.0
2010/11/13,,,
2010/11/14,,,
2010/11/15,876194857.0,7729708441546.0,1159004017334264.0
2010/11/16,920558410.0,8607926916228.0,1150919181275507.0
2010/11/17,962406573.0,7425044675924.0,1150390058672501.0
2010/11/18,812393982.0,7142752220083.0,1168922981192152.0
2010/11/19,884175770.0,7675698296118.0,1176983270416567.0
2010/11/20,,,
2010/11/21,,,
2010/11/22,897835091.0,9102122828794.0,1178828830180494.0
2010/11/23,1002215492.0,9149713067494.0,1169486949947170.0
2010/11/24,1185571585.0,10136630670850.0,1166653232271412.0
2010/11/25,998995344.0,7481439742415.0,1168141500016472.0
