period,shareName,shareCode,marketName,marketCode,mv,totalRevenue,operationIncome,operationIncomePublished,continuingIncomeAndLoseBeforeIncomeTaxes,netIncome,controllingNetIncome,nonControllingNetIncome,assets,liabilities,equity,controllingEquity,nonControllingEquity,commonStock,operatingCashFlow,investingCashFlow,financingCashFlow,capex,fcf,interestBearingLiabilities,operationIncomeMargin,netIncomeMargin,roe,roa,liabilitiesRatio,equityRatio,eps,per,bps,pbr,cashDps,dividendYield,dividendPayoutRatio,shareNum,ev,ebitda,ev/ebitda,ebitdaMargin,psr,sps,por,ops
2020/09,마이크로컨텍솔,098120,반도체와반도체장비,202,395.6,96.0,11.0,11.0,11.0,10.0,9.0,0.0,430.0,84.0,346.0,344.0,3.0,42.0,29.0,-6.0,0.0,2.0,28.0,35.0,11.69,10.24,5.58,4.57,24.16,726.78,,,4300.0,1.15,0.0,,0.0,8312766.0,417.4,,,,,,,
2020/12,마이크로컨텍솔,098120,반도체와반도체장비,202,512.56,112.0,2.0,2.0,-2.0,-1.0,-1.0,0.0,427.0,82.0,345.0,344.0,1.0,42.0,-10.0,8.0,-4.0,4.0,-15.0,31.0,1.93,-1.03,3.32,2.77,23.88,723.8,,,4300.0,1.49,25.0,,-179.86,8312766.0,529.06,,,,,,,
2021/03,마이크로컨텍솔,098120,반도체와반도체장비,202,477.47,109.0,13.0,13.0,18.0,18.0,18.0,0.0,421.0,60.0,361.0,359.0,1.0,42.0,31.0,5.0,-30.0,10.0,21.0,3.0,12.14,16.42,10.15,8.51,16.65,761.66,,,4487.5,1.33,,,0.0,8312766.0,528.67,53.2,9.94,,,,,
2021/06,마이크로컨텍솔,098120,반도체와반도체장비,202,646.05,147.0,14.0,14.0,12.0,6.0,6.0,0.0,455.0,88.0,367.0,365.0,2.0,42.0,5.0,-2.0,-3.0,5.0,0.0,4.0,9.68,4.07,9.13,7.47,23.98,775.87,,20.19,,1.77,,,,,694.45,54.1,12.84,11.66,1.39,,16.15,
2021/09,마이크로컨텍솔,098120,반도체와반도체장비,202,1064.0,167.0,36.0,36.0,39.0,38.0,37.0,0.0,497.0,92.0,404.0,403.0,2.0,42.0,3.0,-22.0,7.0,23.0,-20.0,11.0,21.56,22.52,16.09,13.05,22.78,866.07,,17.73,,2.64,,,0.0,,1093.8,82.5,13.26,15.42,1.99,,16.37,
2021/12(E),마이크로컨텍솔,098120,반도체와반도체장비,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/03(E),마이크로컨텍솔,098120,반도체와반도체장비,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/06(E),마이크로컨텍솔,098120,반도체와반도체장비,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/09,스카이이앤엠,131100,화학,140,1052.8,49.0,-32.0,-32.0,-91.0,-91.0,-91.0,,635.0,475.0,160.0,160.0,,34.0,-14.0,58.0,119.0,5.0,-18.0,288.0,-66.08,-185.21,-114.45,-52.53,296.15,415.93,,,2666.67,6.58,0.0,,0.0,6266661.0,947.0,,,,,,,
2020/12,스카이이앤엠,131100,화학,140,993.24,72.0,-21.0,-21.0,-38.0,-38.0,-38.0,,643.0,271.0,372.0,372.0,,43.0,-56.0,-95.0,48.0,7.0,-63.0,175.0,-28.95,-53.11,-85.06,-47.25,73.02,794.01,,,4650.0,2.67,0.0,,0.0,8136481.0,897.64,,,,,,,
2021/03,스카이이앤엠,131100,화학,140,884.08,52.0,-24.0,-24.0,-38.0,-38.0,-38.0,,588.0,244.0,344.0,344.0,,44.0,1.0,-25.0,-8.0,40.0,-40.0,177.0,-45.26,-72.12,-92.51,-47.59,70.87,718.09,,,4300.0,2.57,0.0,,0.0,8256241.0,762.28,-166.5,-4.58,,,,,
2021/06,스카이이앤엠,131100,화학,140,774.41,18.0,-42.0,-42.0,-90.0,-90.0,-90.0,,482.0,223.0,259.0,259.0,,44.0,14.0,-26.0,0.0,53.0,-39.0,175.0,-240.4,-511.34,-125.6,-50.48,86.23,522.82,-3212.5,-3.01,3237.5,2.99,0.0,,0.0,8256241.0,634.01,-166.9,-3.8,-87.38,4.05,2387.5,-6.51,-1487.5
2021/09,스카이이앤엠,131100,화학,140,470.0,26.0,-17.0,-17.0,-1.0,-1.0,-1.0,,728.0,371.0,357.0,357.0,,56.0,4.0,-160.0,218.0,30.0,-26.0,245.0,-65.07,-3.73,-64.74,-24.58,103.84,561.45,-1518.18,-2.81,3245.45,1.32,0.0,,0.0,10740713.0,322.2,-141.2,-2.28,-84.05,2.8,1527.27,-4.52,-945.45
2021/12(E),스카이이앤엠,131100,화학,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/03(E),스카이이앤엠,131100,화학,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/06(E),스카이이앤엠,131100,화학,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/09,포스코엠텍,009520,철강,62,1944.12,627.0,26.0,26.0,29.0,23.0,23.0,,1339.0,385.0,953.0,953.0,,208.0,-1.0,-22.0,-1.0,2.0,-3.0,3.0,4.21,3.61,10.48,7.22,40.43,358.16,,,2269.05,2.04,0.0,,0.0,41642703.0,2003.32,,,,,,,
2020/12,포스코엠텍,009520,철강,62,1918.36,662.0,18.0,18.0,19.0,13.0,13.0,,1303.0,339.0,964.0,964.0,,208.0,-34.0,39.0,-1.0,4.0,-39.0,2.0,2.68,2.01,10.1,7.26,35.17,363.26,,,2295.24,1.99,80.0,,250.07,41642703.0,1981.96,,,,,,,
2021/03,포스코엠텍,009520,철강,62,3506.58,704.0,27.0,27.0,29.0,23.0,23.0,,1359.0,393.0,966.0,966.0,,208.0,9.0,-26.0,-1.0,4.0,5.0,2.0,3.87,3.23,8.86,6.17,40.73,363.99,,,2300.0,3.63,,,,41642703.0,3552.08,128.1,27.73,,,,,
2021/06,포스코엠텍,009520,철강,62,3790.08,726.0,29.0,29.0,30.0,23.0,23.0,,1379.0,392.0,987.0,987.0,,208.0,19.0,9.0,-34.0,5.0,14.0,2.0,4.03,3.13,8.49,6.16,39.75,374.2,,46.22,,3.84,,,,,3829.48,125.9,30.42,4.63,1.39,,37.9,
2021/09,포스코엠텍,009520,철강,62,3002.0,870.0,52.0,52.0,53.0,42.0,42.0,,1516.0,488.0,1028.0,1028.0,,208.0,53.0,-31.0,-1.0,3.0,50.0,2.0,6.0,4.78,10.13,7.03,47.51,393.95,,29.72,,2.92,,,0.0,,3062.5,149.4,20.5,5.04,1.01,,23.83,
2021/12(E),포스코엠텍,009520,철강,62,3006.7,944.0,54.0,,55.0,43.0,43.0,,1550.0,480.0,1070.0,1070.0,,210.0,,,,,,,5.72,4.55,,,44.86,,,22.95,,2.81,,,,,,,,,0.93,,18.56,
2022/03(E),포스코엠텍,009520,철강,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/06(E),포스코엠텍,009520,철강,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/09,CMG제약,058820,제약,35,6158.88,171.0,7.0,7.0,7.0,6.0,6.0,,2031.0,198.0,1833.0,1833.0,,694.0,49.0,-113.0,-1.0,31.0,17.0,6.0,3.82,3.33,1.66,1.52,10.8,162.31,,,1318.71,3.36,,,0.0,138892244.0,6202.48,,,,,,,
2020/12,CMG제약,058820,제약,35,8022.73,169.0,5.0,5.0,-22.0,-25.0,-25.0,,1954.0,142.0,1811.0,1811.0,,694.0,-48.0,80.0,-1.0,3.0,-52.0,5.0,2.94,-14.59,0.12,0.11,7.85,159.04,,,1302.88,4.43,,,0.0,138892244.0,8098.13,,,,,,,
2021/03,CMG제약,058820,제약,35,6083.91,158.0,1.0,1.0,13.0,13.0,13.0,,1957.0,130.0,1827.0,1827.0,,694.0,8.0,7.0,-1.0,1.0,6.0,8.0,0.8,8.19,0.16,0.15,7.12,161.23,,,1314.39,3.33,,,,138892244.0,6169.31,28.6,215.71,,,,,
2021/06,CMG제약,058820,제약,35,7318.25,173.0,6.0,6.0,0.0,-1.0,-1.0,,1967.0,143.0,1825.0,1825.0,,694.0,27.0,68.0,-1.0,6.0,21.0,7.0,3.23,-0.39,-0.36,-0.34,7.83,160.71,-5.04,-1045.46,1312.95,4.01,,,,138892244.0,7498.55,20.8,360.51,3.1,10.91,482.73,385.17,13.67
2021/09,CMG제약,058820,제약,35,5104.0,185.0,11.0,11.0,18.0,18.0,18.0,,1974.0,128.0,1846.0,1846.0,,694.0,21.0,-149.0,-1.0,6.0,15.0,6.0,5.74,9.53,0.29,0.26,6.92,163.49,,1020.8,,2.76,,,,,5156.8,26.3,196.08,3.84,7.45,,221.91,
2021/12(E),CMG제약,058820,제약,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/03(E),CMG제약,058820,제약,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/06(E),CMG제약,058820,제약,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/09,ES큐브,050120,기타금융,183,818.04,220.0,9.0,9.0,85.0,74.0,74.0,0.0,5726.0,4923.0,803.0,802.0,1.0,691.0,630.0,-292.0,-324.0,10.0,620.0,55.0,4.29,33.59,-34.84,-5.75,612.85,17.85,,,5728.57,1.02,0.0,,0.0,13564086.0,985.34,,,,,,,
2020/12,ES큐브,050120,기타금융,183,749.52,198.0,69.0,69.0,-94.0,-104.0,-104.0,0.0,7149.0,6454.0,695.0,694.0,1.0,691.0,-1120.0,1279.0,-268.0,11.0,-1132.0,71.0,34.82,-52.33,-39.39,-4.29,928.65,2.88,,,4957.14,1.08,0.0,,0.0,13564086.0,789.02,,,,,,,
2021/03,ES큐브,050120,기타금융,183,688.86,282.0,75.0,75.0,75.0,77.0,77.0,0.0,9339.0,8563.0,775.0,774.0,1.0,691.0,2083.0,-2128.0,37.0,1.0,2082.0,145.0,26.77,27.41,-22.9,-2.08,1104.7,13.99,,,5528.57,0.89,0.0,,0.0,13564086.0,647.86,8.4,77.13,,,,,
2021/06,ES큐브,050120,기타금융,183,885.92,316.0,17.0,17.0,10.0,10.0,10.0,0.0,8342.0,7557.0,785.0,784.0,1.0,691.0,-2032.0,2120.0,-2.0,1.0,-2033.0,148.0,5.49,3.09,10.04,0.76,963.01,15.28,407.14,15.54,5600.0,1.13,0.0,,,13564086.0,927.92,32.6,28.46,3.21,0.87,7257.14,5.21,1214.29
2021/09,ES큐브,050120,기타금융,183,608.0,324.0,24.0,24.0,25.0,21.0,21.0,0.0,9585.0,8773.0,813.0,812.0,1.0,691.0,255.0,5.0,-2.0,1.0,254.0,146.0,7.3,6.46,0.51,0.05,1079.54,18.45,28.57,152.0,5800.0,0.75,0.0,,0.0,13564086.0,912.9,48.1,18.98,4.29,0.54,8000.0,3.29,1321.43
2021/12(E),ES큐브,050120,기타금융,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/03(E),ES큐브,050120,기타금융,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/06(E),ES큐브,050120,기타금융,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/09,KB오토시스,024120,자동차부품,36,725.62,340.0,17.0,17.0,17.0,16.0,16.0,,1505.0,482.0,1022.0,1022.0,,58.0,62.0,-12.0,-3.0,13.0,48.0,249.0,5.11,4.67,3.13,2.15,47.2,1699.85,,,8516.67,0.71,0.0,,0.0,11500000.0,601.22,,,,,,,
2020/12,KB오토시스,024120,자동차부품,36,851.58,445.0,42.0,42.0,29.0,11.0,11.0,,1512.0,486.0,1026.0,1026.0,,58.0,-19.0,-25.0,-12.0,24.0,-43.0,238.0,9.38,2.46,3.24,2.25,47.39,1719.45,,,8550.0,0.83,170.0,,178.16,11500000.0,679.38,,,,,,,
2021/03,KB오토시스,024120,자동차부품,36,1122.7,312.0,7.0,7.0,29.0,18.0,18.0,,1487.0,458.0,1030.0,1030.0,,58.0,-79.0,71.0,12.0,25.0,-104.0,250.0,2.18,5.62,2.97,2.07,44.48,1716.01,,,8583.33,1.09,0.0,,0.0,11500000.0,945.6,138.5,6.83,,,,,
2021/06,KB오토시스,024120,자동차부품,36,1014.3,310.0,4.0,4.0,-1.0,4.0,4.0,,1490.0,455.0,1035.0,1035.0,,58.0,135.0,-126.0,-2.0,17.0,118.0,268.0,1.23,1.32,4.75,3.33,43.93,1723.15,,20.7,,0.98,0.0,,,,827.4,149.8,5.52,10.65,0.72,,14.49,
2021/09,KB오토시스,024120,자동차부품,36,734.0,301.0,-9.0,-9.0,13.0,11.0,11.0,,1502.0,447.0,1056.0,1056.0,,58.0,-33.0,48.0,-8.0,21.0,-54.0,261.0,-3.07,3.75,4.23,2.92,42.3,1742.78,,16.68,,0.7,0.0,,0.0,,564.1,133.7,4.22,9.77,0.54,,16.68,
2021/12(E),KB오토시스,024120,자동차부품,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/03(E),KB오토시스,024120,자동차부품,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/06(E),KB오토시스,024120,자동차부품,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/09,KD,044180,건설,42,385.56,27.0,-31.0,-31.0,-36.0,-34.0,-34.0,,1377.0,1125.0,252.0,252.0,,78.0,-84.0,-149.0,260.0,-109.0,25.0,536.0,-117.6,-128.69,7.56,1.48,447.24,220.02,,,1482.35,1.53,0.0,,0.0,16925457.0,-73.44,,,,,,,
2020/12,KD,044180,건설,42,198.72,18.0,1.0,1.0,24.0,17.0,17.0,0.0,1484.0,1196.0,288.0,288.0,,83.0,-163.0,27.0,85.0,14.0,-177.0,616.0,6.42,95.91,-17.35,-3.94,414.95,233.33,,,1600.0,0.69,0.0,,0.0,17848596.0,-391.08,,,,,,,
2021/03,KD,044180,건설,42,183.68,33.0,-20.0,-20.0,-1.0,-1.0,-1.0,,1485.0,1197.0,287.0,287.0,,83.0,-17.0,21.0,12.0,2.0,-19.0,630.0,-61.66,-4.17,-16.45,-4.06,416.8,244.92,,,1594.44,0.64,0.0,,0.0,17848596.0,-404.22,,,,,,,
2021/06,KD,044180,건설,42,239.25,20.0,-24.0,-24.0,27.0,15.0,15.0,,1816.0,1380.0,435.0,435.0,,83.0,-165.0,-5.0,135.0,0.0,-165.0,764.0,-121.94,78.63,-0.83,-0.2,317.23,396.71,-16.67,-79.75,2416.67,0.55,0.0,,0.0,17848596.0,-516.85,,,,2.44,544.44,-3.23,-411.11
2021/09,KD,044180,건설,42,281.0,65.0,-29.0,-29.0,-32.0,-32.0,-32.0,,2071.0,1667.0,404.0,404.0,,83.0,53.0,-246.0,190.0,-2.0,55.0,970.0,-44.17,-49.4,-0.32,-0.06,412.97,357.75,-5.56,-281.0,2244.44,0.7,,,0.0,17848596.0,-684.1,,,,2.07,755.56,-3.9,-400.0
2021/12(E),KD,044180,건설,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/03(E),KD,044180,건설,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/06(E),KD,044180,건설,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/09,SBI핀테크솔루션즈,950110,IT서비스,154,1621.62,298.0,61.0,59.0,48.0,31.0,31.0,0.0,3103.0,2641.0,462.0,462.0,1.0,162.0,-298.0,-51.0,-131.0,4.0,-302.0,1250.0,20.48,10.29,21.85,3.55,571.0,211.91,,,1925.0,3.51,0.0,,0.0,24048040.0,2358.42,,,,,,,
2020/12,SBI핀테크솔루션즈,950110,IT서비스,154,1838.64,268.0,18.0,89.0,87.0,53.0,53.0,0.0,5007.0,4517.0,490.0,489.0,1.0,153.0,976.0,56.0,778.0,2.0,975.0,1985.0,6.75,19.64,28.12,2.8,922.02,244.58,,,2037.5,3.76,0.0,,0.0,24048040.0,3543.14,,,,,,,
2021/03,SBI핀테크솔루션즈,950110,IT서비스,154,2129.76,227.0,-1.0,-18.0,-31.0,-21.0,-21.0,0.0,3716.0,3256.0,459.0,459.0,1.0,149.0,-1314.0,-8.0,-191.0,6.0,-1320.0,1795.0,-0.23,-9.14,17.42,2.48,709.26,232.38,,,1912.5,4.64,174.0,,-194.24,24048040.0,2475.46,,,,,,,
2021/06,SBI핀테크솔루션즈,950110,IT서비스,154,1900.32,239.0,28.0,25.0,15.0,11.0,11.0,0.0,4021.0,3593.0,429.0,428.0,1.0,148.0,-360.0,-55.0,440.0,0.0,-360.0,2221.0,11.66,4.57,17.04,2.01,837.92,212.52,308.33,25.68,1783.33,4.44,0.0,,,24048040.0,1835.12,,,,1.84,4300.0,17.93,441.67
2021/09,SBI핀테크솔루션즈,950110,IT서비스,154,1551.0,248.0,16.0,11.0,-3.0,-3.0,-3.0,0.0,4381.0,3942.0,440.0,439.0,1.0,154.0,-165.0,-57.0,256.0,6.0,-171.0,2583.0,6.52,-1.11,8.83,1.07,896.77,210.59,166.67,38.78,1829.17,3.53,0.0,,0.0,24048040.0,1234.3,,,,1.58,4091.67,25.43,254.17
2021/12(E),SBI핀테크솔루션즈,950110,IT서비스,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/03(E),SBI핀테크솔루션즈,950110,IT서비스,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/06(E),SBI핀테크솔루션즈,950110,IT서비스,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/09,가비아,079940,IT서비스,154,1932.56,396.0,52.0,52.0,48.0,40.0,17.0,23.0,2448.0,803.0,1645.0,833.0,812.0,68.0,154.0,-209.0,147.0,10.0,143.0,449.0,13.15,10.13,15.72,10.76,48.79,1166.71,,,5950.0,2.32,0.0,,0.0,13535684.0,2023.56,,,,,,,
2020/12,가비아,079940,IT서비스,154,1714.96,482.0,100.0,100.0,87.0,83.0,47.0,36.0,2600.0,868.0,1732.0,884.0,848.0,68.0,127.0,-160.0,18.0,351.0,-224.0,504.0,20.68,17.25,14.99,10.33,50.13,1242.18,,,6314.29,1.94,60.0,,16.7,13535684.0,1729.96,,,,,,,
2021/03,가비아,079940,IT서비스,154,2029.44,432.0,64.0,64.0,70.0,57.0,30.0,27.0,2616.0,849.0,1767.0,906.0,861.0,68.0,45.0,-47.0,-33.0,17.0,29.0,481.0,14.8,13.21,15.63,10.67,48.05,1274.37,,,6471.43,2.24,,,0.0,13535684.0,2036.44,472.1,4.31,,,,,
2021/06,가비아,079940,IT서비스,154,2220.76,489.0,67.0,67.0,67.0,51.0,18.0,33.0,2659.0,823.0,1836.0,941.0,895.0,68.0,83.0,-194.0,-39.0,24.0,60.0,458.0,13.7,10.48,12.76,9.19,44.82,1319.95,,19.83,,2.36,,,,,2101.66,463.6,4.53,25.77,1.23,,7.85,
2021/09,가비아,079940,IT서비스,154,1834.0,501.0,81.0,81.0,93.0,75.0,38.0,37.0,2758.0,845.0,1913.0,979.0,935.0,68.0,128.0,-94.0,-8.0,60.0,69.0,509.0,16.25,14.97,14.72,10.23,44.18,1376.31,,13.79,,1.87,,,,,1696.6,510.0,3.33,26.79,0.96,,5.88,
2021/12(E),가비아,079940,IT서비스,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/03(E),가비아,079940,IT서비스,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/06(E),가비아,079940,IT서비스,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/09,가온미디어,078890,전자제품,213,864.0,1371.0,37.0,37.0,14.0,20.0,23.0,-3.0,3638.0,2061.0,1577.0,1600.0,-24.0,75.0,266.0,-113.0,89.0,10.0,256.0,1055.0,2.71,1.49,4.23,1.71,130.76,2056.58,,,10666.67,0.54,0.0,,0.0,15357867.0,271.5,,,,,,,
2020/12,가온미디어,078890,전자제품,213,938.69,1233.0,7.0,7.0,-45.0,-18.0,-14.0,-4.0,3305.0,1721.0,1584.0,1591.0,-7.0,75.0,314.0,87.0,-135.0,5.0,310.0,894.0,0.54,-1.43,1.85,0.63,108.64,2054.5,,,10606.67,0.59,49.0,,-51.69,15357867.0,744.59,,,,,,,
2021/03,가온미디어,078890,전자제품,213,1780.8,1215.0,71.0,71.0,73.0,60.0,62.0,-2.0,3549.0,1874.0,1674.0,1680.0,-6.0,79.0,27.0,-35.0,-67.0,7.0,20.0,836.0,5.87,4.95,3.58,1.39,111.94,2062.93,,,10500.0,1.06,,,0.0,15851946.0,1580.8,177.6,8.9,,,,,
2021/06,가온미디어,078890,전자제품,213,2067.39,1375.0,87.0,87.0,104.0,94.0,96.0,-2.0,3839.0,2082.0,1757.0,1767.0,-10.0,79.0,-30.0,-20.0,144.0,12.0,-42.0,888.0,6.33,6.84,9.99,4.38,118.53,2184.31,1043.75,12.38,11043.75,1.17,,,,15851946.0,1906.59,238.6,7.99,4.59,0.4,32462.5,10.23,1262.5
2021/09,가온미디어,078890,전자제품,213,2417.0,1492.0,74.0,74.0,90.0,76.0,77.0,-1.0,3955.0,2121.0,1834.0,1845.0,-12.0,79.0,-358.0,-56.0,125.0,10.0,-369.0,1021.0,4.94,5.07,12.85,5.59,115.67,2281.35,1381.25,10.94,11531.25,1.31,,,0.0,15851946.0,1854.1,281.8,6.58,5.3,0.45,33218.75,10.11,1493.75
2021/12(E),가온미디어,078890,전자제품,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/03(E),가온미디어,078890,전자제품,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/06(E),가온미디어,078890,전자제품,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/09,감성코퍼레이션,036620,종이와목재,196,440.99,42.0,-16.0,-16.0,-21.0,-21.0,-21.0,0.0,387.0,176.0,211.0,211.0,0.0,320.0,-14.0,19.0,16.0,8.0,-22.0,125.0,-37.71,-50.64,-45.25,-24.11,83.71,45.32,,,329.69,2.09,0.0,,0.0,64046006.0,383.89,,,,,,,
2020/12,감성코퍼레이션,036620,종이와목재,196,490.88,60.0,-11.0,-11.0,-8.0,-8.0,-8.0,0.0,366.0,130.0,236.0,236.0,0.0,346.0,-37.0,14.0,-12.0,3.0,-39.0,99.0,-17.93,-12.9,-25.12,-13.23,55.15,18.2,,,342.03,2.08,0.0,,0.0,69111364.0,424.88,,,,,,,
2021/03,감성코퍼레이션,036620,종이와목재,196,612.79,61.0,-12.0,-12.0,-12.0,-12.0,-12.0,0.0,370.0,134.0,236.0,233.0,3.0,354.0,-28.0,21.0,3.0,1.0,-29.0,96.0,-19.05,-19.6,-27.59,-14.56,56.92,14.99,,,328.17,2.63,0.0,,0.0,70745350.0,545.49,-38.8,-14.06,,,,,
2021/06,감성코퍼레이션,036620,종이와목재,196,1384.44,94.0,-5.0,-5.0,-1.0,-1.0,-1.0,0.0,369.0,117.0,252.0,249.0,3.0,370.0,-5.0,11.0,-9.0,9.0,-14.0,81.0,-4.95,-1.18,-18.43,-11.81,46.64,13.47,-56.76,-32.96,336.49,5.56,0.0,,,74015708.0,1328.74,-30.7,-43.28,-11.95,5.39,347.3,-31.46,-59.46
2021/09,감성코퍼레이션,036620,종이와목재,196,1700.0,104.0,-3.0,-3.0,-7.0,-7.0,-6.0,-1.0,453.0,191.0,262.0,260.0,2.0,377.0,22.0,-21.0,8.0,9.0,13.0,110.0,-2.47,-7.2,-11.43,-6.73,72.76,14.36,-36.0,-62.96,346.67,6.54,,,0.0,75322897.0,1624.1,-22.0,-73.82,-6.9,5.33,425.33,-54.84,-41.33
2021/12(E),감성코퍼레이션,036620,종이와목재,196,1696.32,218.0,20.0,,,22.0,22.0,,455.0,166.0,288.0,288.0,,358.0,,,,,,,9.17,10.09,,,57.54,,,565.44,,5.89,,,,,,,,,3.56,,1696.32,
2022/03(E),감성코퍼레이션,036620,종이와목재,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/06(E),감성코퍼레이션,036620,종이와목재,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/09,강스템바이오텍,217730,생물공학,146,1802.36,17.0,-42.0,-42.0,-35.0,-35.0,-33.0,-2.0,872.0,324.0,549.0,574.0,-25.0,126.0,-27.0,19.0,-2.0,10.0,-37.0,180.0,-246.44,-207.02,-34.31,-23.77,59.0,320.66,,,2050.0,3.14,0.0,,0.0,27977831.0,1683.06,,,,,,,
2020/12,강스템바이오텍,217730,생물공학,146,2022.72,30.0,-43.0,-43.0,-56.0,-56.0,-49.0,-7.0,825.0,339.0,486.0,516.0,-30.0,127.0,-21.0,66.0,-6.0,2.0,-23.0,182.0,-145.08,-188.52,-30.2,-20.13,69.63,280.9,,,1842.86,3.92,0.0,,0.0,28363257.0,1940.42,,,,,,,
2021/03,강스템바이오텍,217730,생물공학,146,1770.8,13.0,-53.0,-53.0,-54.0,-54.0,-51.0,-3.0,763.0,329.0,434.0,466.0,-33.0,128.0,-55.0,-16.0,-4.0,8.0,-63.0,176.0,-409.39,-416.76,-29.36,-20.57,75.84,238.36,,,1606.9,3.8,0.0,,,29191226.0,1619.7,-168.8,-9.6,,,,,
2021/06,강스템바이오텍,217730,생물공학,146,1673.48,26.0,-50.0,-50.0,-43.0,-43.0,-41.0,-2.0,758.0,364.0,394.0,428.0,-34.0,128.0,-19.0,52.0,13.0,22.0,-41.0,189.0,-191.38,-165.23,-33.77,-22.66,92.42,206.03,-600.0,-9.62,1475.86,3.91,0.0,,0.0,29191226.0,1556.28,-155.9,-9.98,-181.28,19.46,296.55,-8.9,-648.28
2021/09,강스템바이오텍,217730,생물공학,146,1334.0,38.0,-50.0,-50.0,-47.0,-47.0,-47.0,0.0,709.0,360.0,349.0,383.0,-34.0,128.0,-40.0,54.0,1.0,14.0,-55.0,194.0,-130.65,-122.05,-39.36,-25.3,103.01,168.81,-648.28,-7.1,1320.69,3.48,,,,29191226.0,1227.1,-161.7,-7.59,-151.12,12.47,368.97,-6.81,-675.86
2021/12(E),강스템바이오텍,217730,생물공학,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/03(E),강스템바이오텍,217730,생물공학,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/06(E),강스템바이오텍,217730,생물공학,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/09,강원에너지,114190,기계,138,452.2,101.0,-6.0,-6.0,1.0,1.0,1.0,0.0,433.0,191.0,242.0,238.0,4.0,91.0,49.0,48.0,-51.0,0.0,49.0,89.0,-5.76,0.6,-88.92,-49.3,78.72,163.66,,,1322.22,1.9,0.0,,0.0,18154911.0,443.6,,,,,,,
2020/12,강원에너지,114190,기계,138,453.15,99.0,-48.0,-48.0,-66.0,-66.0,-62.0,-4.0,330.0,159.0,171.0,171.0,0.0,91.0,-87.0,134.0,-39.0,0.0,-87.0,56.0,-47.89,-66.8,-65.28,-28.84,92.84,91.57,,,950.0,2.65,0.0,,0.0,18154911.0,486.45,,,,,,,
