period,shareName,shareCode,marketName,marketCode,mv,totalRevenue,operationIncome,operationIncomePublished,continuingIncomeAndLoseBeforeIncomeTaxes,netIncome,controllingNetIncome,nonControllingNetIncome,assets,liabilities,equity,controllingEquity,nonControllingEquity,commonStock,operatingCashFlow,investingCashFlow,financingCashFlow,capex,fcf,interestBearingLiabilities,operationIncomeMargin,netIncomeMargin,roe,roa,liabilitiesRatio,equityRatio,eps,per,bps,pbr,cashDps,dividendYield,dividendPayoutRatio,shareNum,ev,ebitda,ev/ebitda,ebitdaMargin,psr,sps,por,ops
2020/09,디지틀조선,033130,출판,166,980.28,78.0,10.0,10.0,13.0,10.0,10.0,0.0,846.0,63.0,782.0,778.0,4.0,186.0,-5.0,-1.0,-5.0,0.0,-6.0,16.0,13.09,12.51,3.83,3.51,8.11,311.54,,,2102.7,1.26,0.0,,0.0,37115267.0,1029.38,,,,,,,
2020/12,디지틀조선,033130,출판,166,1131.84,81.0,-1.0,-1.0,2.0,-2.0,-2.0,0.0,850.0,60.0,791.0,786.0,4.0,186.0,19.0,-5.0,-5.0,3.0,16.0,12.0,-1.14,-1.93,2.32,2.15,7.55,310.62,,,2124.32,1.44,20.0,,-432.04,37115267.0,1193.94,,,,,,,
2021/03,디지틀조선,033130,출판,166,1188.64,70.0,1.0,1.0,4.0,3.0,3.0,0.0,856.0,70.0,786.0,782.0,4.0,186.0,10.0,51.0,-5.0,3.0,7.0,18.0,0.95,3.86,2.02,1.82,8.95,308.22,,,2113.51,1.52,,,,37115267.0,1300.44,,,,,,,
2021/06,디지틀조선,033130,출판,166,1524.7,94.0,6.0,6.0,10.0,8.0,8.0,0.0,868.0,74.0,794.0,790.0,4.0,186.0,21.0,-25.0,-13.0,3.0,18.0,17.0,6.89,8.33,2.44,2.2,9.34,312.48,,80.25,,1.93,,,,,1620.8,,,,4.72,,95.29,
2021/09,디지틀조선,033130,출판,166,1121.0,86.0,13.0,13.0,16.0,12.0,13.0,0.0,874.0,68.0,806.0,802.0,4.0,186.0,5.0,-30.0,-3.0,6.0,0.0,11.0,15.48,14.59,2.77,2.5,8.4,319.35,,50.95,,1.4,,,,,1195.3,49.9,23.95,15.08,3.39,,59.0,
2021/12(E),디지틀조선,033130,출판,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/03(E),디지틀조선,033130,출판,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/06(E),디지틀조선,033130,출판,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/09,디케이락,105740,기계,138,945.0,175.0,4.0,4.0,-1.0,-1.0,-1.0,,1262.0,317.0,945.0,945.0,,42.0,21.0,-17.0,-1.0,4.0,17.0,122.0,2.33,-0.48,4.76,3.54,33.53,2135.26,,,11812.5,1.0,0.0,,0.0,8449912.0,907.3,,,,,,,
2020/12,디케이락,105740,기계,138,1254.92,174.0,-8.0,-8.0,-39.0,-31.0,-31.0,,1468.0,552.0,916.0,916.0,,42.0,5.0,-131.0,246.0,88.0,-83.0,315.0,-4.83,-18.11,0.1,0.07,60.25,2066.27,,,11450.0,1.37,150.0,,-40.28,8449912.0,1139.92,,,,,,,
